Date,Tournament,Rd,Rival,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%.1,RiP W%.1,SvImpact.1,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%.2,RiP W%.2,2ndAgg,W_or_L
2022,Metz,QF,Rinderknech,41.8%,60.0%,56.7%,48.2%,52.9%,73.5%,68.8%,63.2%,43.8%,55.6%,0.0%,26.3%,42.1%,42.9%,65,W
2022,Metz,R16,Thiem,42.6%,57.4%,62.1%,51.7%,53.8%,66.7%,61.1%,66.4%,40.0%,57.9%,100.0%,15.4%,38.5%,63.6%,29,W
2022,US Open,R64,Ivashka,32.0%,45.1%,56.4%,38.8%,47.1%,66.2%,63.9%,59.3%,56.5%,42.2%,25.0%,14.3%,20.4%,50.0%,25,L
2022,US Open,R128,Otte,47.3%,55.4%,62.2%,51.6%,55.6%,64.4%,65.0%,62.7%,40.9%,47.8%,-,37.0%,44.4%,58.8%,25,W
2022,Cincinnati,R32,Isner,38.0%,49.1%,51.6%,42.9%,45.7%,55.7%,52.6%,53.3%,43.8%,44.7%,100.0%,25.7%,40.0%,50.0%,40,L
2022,Canada,F,Carreno Busta,42.1%,52.6%,41.5%,49.7%,54.7%,69.8%,54.2%,65.7%,50.0%,48.1%,100.0%,15.0%,15.0%,23.5%,25,L
2022,Canada,SF,Ruud,35.4%,52.5%,42.9%,39.5%,57.7%,71.2%,54.5%,65.6%,44.4%,44.0%,100.0%,10.9%,32.6%,36.6%,-47,W
2022,Canada,QF,Kyrgios,37.4%,51.5%,65.0%,44.7%,52.5%,70.5%,69.0%,64.4%,46.2%,40.0%,50.0%,13.9%,22.2%,61.3%,1,W
2022,Canada,R16,Ramos,31.5%,49.1%,52.2%,41.7%,43.9%,68.2%,59.5%,60.6%,69.2%,57.5%,33.3%,13.5%,21.6%,43.8%,13,W
2022,Canada,R32,Ruusuvuori,40.8%,49.5%,50.8%,45.3%,55.6%,66.7%,46.4%,63.0%,34.6%,48.6%,66.7%,18.4%,23.7%,54.8%,-3,W
2022,Washington,R32,Ruusuvuori,46.2%,58.5%,47.1%,51.7%,53.2%,66.0%,40.9%,60.9%,50.0%,44.4%,0.0%,29.4%,41.2%,58.3%,5,L
2022,Wimbledon,R128,Davidovich Fokina,33.9%,48.0%,49.1%,40.9%,47.1%,59.8%,53.7%,58.7%,45.2%,51.7%,33.3%,15.2%,31.8%,44.6%,-13,L
2022,Halle,F,Medvedev,37.3%,49.0%,63.3%,48.0%,48.6%,62.2%,73.7%,63.5%,38.9%,63.2%,-,8.3%,16.7%,45.5%,-39,W
2022,Halle,SF,Kyrgios,45.9%,62.2%,61.5%,52.9%,53.8%,69.2%,53.3%,64.3%,42.9%,48.6%,0.0%,31.3%,50.0%,72.7%,-33,W
2022,Halle,QF,Auger Aliassime,33.7%,44.2%,57.1%,42.0%,42.9%,55.4%,62.5%,55.5%,57.1%,46.4%,-,17.2%,24.1%,50.0%,-29,W
2022,Halle,R16,Humbert,36.6%,50.7%,55.8%,39.6%,64.7%,73.5%,41.7%,70.9%,31.3%,33.3%,0.0%,11.4%,31.4%,61.3%,1,W
2022,Halle,R32,Cressy,47.6%,59.5%,51.2%,53.3%,56.9%,68.6%,50.0%,66.3%,43.5%,35.7%,100.0%,36.7%,50.0%,52.6%,59,W
2022,Roland Garros,R16,Ruud,23.4%,43.2%,45.8%,34.5%,33.9%,59.3%,59.0%,54.7%,44.4%,50.0%,33.3%,12.0%,26.0%,34.1%,-21,L
2022,Roland Garros,R32,Goffin,38.8%,52.5%,60.4%,45.2%,44.7%,61.7%,65.4%,55.7%,52.2%,20.8%,0.0%,31.3%,40.6%,54.5%,-33,W
2022,Roland Garros,R64,Cecchinato,35.4%,56.9%,69.0%,44.9%,38.6%,61.4%,77.8%,52.7%,38.1%,47.8%,-,28.6%,47.6%,53.3%,-79,W
2022,Roland Garros,R128,Zeppieri,34.6%,55.6%,74.0%,43.5%,37.3%,60.8%,65.6%,51.4%,50.0%,51.9%,-,33.3%,51.9%,88.9%,72,W
2022,Rome,R64,Goffin,23.1%,29.7%,54.3%,26.7%,36.6%,43.9%,42.3%,44.6%,60.0%,50.0%,66.7%,12.0%,18.0%,61.4%,-79,L
2022,Madrid,QF,Djokovic,32.7%,47.3%,48.6%,41.3%,45.7%,65.7%,57.9%,59.1%,56.3%,31.6%,50.0%,11.1%,16.7%,37.5%,-8,L
2022,Madrid,R16,Lajovic,45.8%,54.2%,44.7%,48.8%,66.7%,73.8%,50.0%,71.7%,35.0%,63.6%,100.0%,17.2%,27.6%,41.7%,-29,W
2022,Madrid,R32,Davidovich Fokina,31.4%,43.8%,51.4%,39.1%,40.0%,52.0%,42.2%,50.8%,51.5%,52.4%,71.4%,10.7%,25.0%,68.0%,-8,W
2022,Madrid,R64,Dellien,29.0%,44.0%,52.9%,37.5%,38.7%,56.5%,57.9%,52.4%,57.7%,50.0%,-,13.5%,24.3%,46.9%,-39,W
2022,Monte Carlo,QF,Dimitrov,30.7%,43.6%,48.6%,36.9%,45.3%,62.3%,55.2%,57.2%,35.0%,57.6%,66.7%,14.3%,24.5%,42.9%,-79,L
2022,Monte Carlo,R16,Ramos,45.6%,61.4%,66.7%,53.2%,50.0%,63.2%,57.9%,61.3%,55.6%,40.0%,-,38.9%,61.1%,81.8%,1,W
2022,Monte Carlo,R32,Martinez,35.0%,46.3%,62.7%,41.8%,47.1%,58.8%,66.7%,57.6%,44.4%,37.5%,0.0%,14.3%,25.0%,58.3%,-79,W
2022,Monte Carlo,R64,Dellien,38.8%,49.3%,51.2%,44.9%,52.4%,69.0%,50.0%,62.1%,45.0%,50.0%,100.0%,16.0%,16.0%,52.4%,-79,W
2022,Miami,SF,Alcaraz,45.3%,53.5%,42.6%,50.9%,56.1%,66.7%,56.0%,64.6%,38.1%,50.0%,66.7%,24.1%,27.6%,27.3%,-79,L
2022,Miami,QF,Medvedev,32.8%,46.9%,58.5%,41.7%,39.1%,58.7%,57.1%,51.5%,42.9%,56.0%,100.0%,18.8%,18.8%,61.5%,65,W
2022,Miami,R16,Harris,35.0%,45.0%,57.9%,38.3%,46.2%,56.4%,61.9%,51.3%,46.7%,50.0%,33.3%,15.0%,25.0%,52.9%,-7,W
2022,Miami,R32,Karatsev,50.6%,61.8%,48.8%,56.5%,61.9%,73.0%,54.2%,70.3%,31.0%,55.9%,0.0%,24.0%,36.0%,42.1%,-21,W
2022,Miami,R64,Rinderknech,52.4%,63.5%,50.0%,55.6%,58.0%,66.0%,47.6%,62.0%,52.4%,62.1%,-,30.8%,53.8%,55.6%,-79,W
2022,Indian Wells,R16,Rublev,34.2%,49.4%,41.7%,40.1%,53.3%,68.9%,52.4%,63.8%,52.4%,45.8%,33.3%,10.0%,26.7%,33.3%,-18,L
2022,Indian Wells,R32,Johnson,35.2%,49.3%,57.8%,42.1%,50.0%,60.9%,78.3%,60.7%,33.3%,32.1%,50.0%,8.3%,29.2%,36.4%,-30,W
2022,Indian Wells,R64,Otte,39.7%,51.3%,55.6%,47.2%,41.5%,56.6%,61.3%,52.5%,44.0%,42.9%,50.0%,37.5%,41.7%,46.7%,37,W
2022,Dubai,SF,Rublev,44.7%,59.2%,53.6%,52.2%,61.1%,77.8%,67.9%,71.9%,50.0%,55.0%,40.0%,6.7%,16.7%,39.3%,-47,L
2022,Dubai,QF,Sinner,36.7%,51.0%,62.1%,43.1%,50.0%,67.9%,64.3%,61.1%,58.3%,50.0%,-,21.1%,31.6%,60.0%,65,W
2022,Dubai,R16,Molcan,36.4%,43.6%,56.3%,43.3%,54.5%,66.7%,73.3%,66.1%,50.0%,47.1%,0.0%,10.5%,10.5%,41.2%,-18,W
2022,Dubai,R32,Bublik,37.0%,37.0%,57.1%,39.6%,44.8%,44.8%,56.3%,49.0%,50.0%,33.3%,-,25.0%,25.0%,58.3%,10,W
2022,Rotterdam,R16,Musetti,35.6%,46.0%,49.1%,44.3%,39.0%,54.2%,52.8%,51.7%,45.2%,50.0%,50.0%,29.6%,29.6%,42.1%,-25,L
2022,Rotterdam,R32,Tsonga,39.1%,51.6%,71.1%,46.6%,45.0%,60.0%,68.2%,57.0%,58.8%,47.8%,0.0%,30.4%,39.1%,75.0%,-16,W
2022,Australian Open,R64,Mannarino,25.0%,38.0%,37.3%,30.5%,36.1%,50.8%,30.8%,44.4%,50.0%,57.6%,60.0%,3.4%,13.8%,46.4%,-82,L
2022,Australian Open,R128,Gerasimov,32.9%,42.1%,46.0%,38.9%,42.6%,52.5%,50.0%,51.7%,47.6%,47.5%,25.0%,14.3%,22.4%,40.5%,-20,W
2022,Atp Cup,SF,Bautista Agut,30.0%,42.5%,56.8%,40.6%,40.0%,53.8%,62.5%,55.9%,51.5%,57.4%,0.0%,10.8%,21.6%,48.5%,-8,L
2022,Atp Cup,RR,Metreveli,44.7%,55.3%,59.5%,52.0%,53.3%,61.7%,57.1%,62.5%,46.2%,50.0%,-,12.5%,31.3%,64.3%,-79,W
2022,Atp Cup,RR,Schwartzman,43.4%,58.5%,55.6%,50.0%,58.3%,77.8%,60.0%,68.1%,56.3%,60.0%,100.0%,14.3%,21.4%,50.0%,11,W
2022,Atp Cup,RR,Thanos,55.3%,60.5%,52.9%,59.7%,58.6%,62.1%,50.0%,64.5%,38.5%,50.0%,50.0%,44.4%,55.6%,60.0%,-79,W
2021,Tour Finals,RR,Sinner,34.0%,40.4%,22.6%,38.5%,41.9%,51.6%,27.8%,48.7%,42.9%,52.9%,100.0%,18.8%,18.8%,15.4%,-79,L
2021,Tour Finals,RR,Zverev,33.3%,38.9%,33.3%,36.3%,42.9%,48.6%,35.0%,47.4%,50.0%,26.3%,33.3%,15.8%,21.1%,31.3%,-79,L
2021,Tour Finals,RR,Medvedev,42.0%,53.4%,47.1%,46.9%,55.2%,63.8%,53.8%,62.6%,48.0%,60.6%,0.0%,16.7%,33.3%,40.0%,-79,L
2021,Paris,SF,Djokovic,29.8%,38.5%,42.3%,35.4%,36.2%,47.8%,54.5%,44.6%,54.5%,55.6%,40.0%,18.2%,21.2%,22.2%,7,L
2021,Paris,QF,Duckworth,36.0%,47.7%,63.6%,41.7%,45.5%,54.5%,70.0%,54.4%,32.1%,51.9%,-,19.4%,35.5%,56.0%,-79,W
2021,Paris,R16,Koepfer,32.6%,46.1%,52.6%,41.6%,40.4%,57.9%,52.9%,54.4%,63.0%,56.7%,75.0%,20.7%,27.6%,52.2%,19,W
2021,Paris,R32,Paul,44.6%,47.3%,40.5%,46.8%,51.0%,55.1%,41.7%,54.3%,54.5%,55.6%,75.0%,38.1%,38.1%,38.5%,163,W
2021,Vienna,R32,Murray,28.7%,46.8%,55.2%,38.3%,41.8%,63.6%,65.6%,58.2%,52.0%,46.7%,50.0%,10.3%,23.1%,45.7%,-79,L
2021,Indian Wells,QF,Dimitrov,35.6%,45.2%,47.0%,41.4%,50.0%,58.1%,54.8%,59.8%,56.3%,50.0%,100.0%,14.6%,26.8%,40.0%,-43,L
2021,Indian Wells,R16,Karatsev,40.9%,50.0%,50.0%,44.8%,51.6%,54.8%,40.0%,57.1%,21.4%,41.2%,100.0%,15.4%,38.5%,63.6%,-79,W
2021,Indian Wells,R32,Tiafoe,45.8%,52.1%,57.7%,51.5%,55.9%,64.7%,66.7%,63.8%,42.1%,40.0%,-,21.4%,21.4%,45.5%,-79,W
2021,Indian Wells,R64,Popyrin,32.8%,47.8%,53.7%,37.5%,42.9%,54.8%,45.8%,50.2%,62.5%,57.7%,75.0%,19.0%,42.9%,64.7%,58,W
2021,San Diego,R32,Bolt,42.6%,57.4%,67.7%,48.3%,54.8%,71.0%,78.6%,64.8%,41.7%,52.6%,-,26.1%,39.1%,58.8%,-79,W
2021,Metz,F,Carreno Busta,44.6%,62.5%,55.2%,50.2%,61.8%,76.5%,46.2%,70.9%,47.1%,41.2%,100.0%,20.0%,45.0%,62.5%,59,W
2021,Metz,SF,Gojowczyk,42.0%,56.5%,47.5%,47.8%,45.2%,64.3%,60.9%,54.8%,60.0%,54.5%,50.0%,37.0%,44.4%,29.4%,-79,W
2021,Metz,QF,Murray,34.6%,48.7%,56.9%,44.4%,42.6%,57.4%,71.0%,56.7%,56.5%,45.2%,0.0%,16.7%,29.2%,35.0%,-79,W
2021,Metz,R16,Pouille,40.8%,49.0%,55.2%,46.3%,45.2%,54.8%,64.7%,53.9%,28.6%,50.0%,-,33.3%,38.9%,41.7%,-79,W
2021,Cincinnati,R16,Carreno Busta,33.0%,43.1%,46.5%,39.4%,42.4%,57.6%,47.1%,54.1%,48.1%,65.6%,100.0%,22.9%,27.1%,45.9%,-19,L
2021,Cincinnati,R32,Murray,39.7%,50.0%,55.0%,46.9%,50.0%,60.4%,62.5%,60.2%,50.0%,69.2%,50.0%,15.8%,26.3%,43.8%,-3,W
2021,Cincinnati,R64,Davidovich Fokina,38.5%,45.8%,50.0%,43.6%,47.3%,56.4%,48.3%,56.2%,40.6%,56.5%,-,28.9%,34.2%,51.9%,32,W
2021,Canada,QF,Medvedev,38.4%,49.5%,65.0%,43.7%,50.0%,60.9%,71.9%,58.3%,70.0%,35.3%,0.0%,17.6%,29.4%,57.1%,-36,L
2021,Canada,R16,Basilashvili,40.9%,47.3%,52.5%,44.3%,64.1%,71.9%,65.2%,69.8%,61.5%,39.5%,50.0%,9.5%,14.3%,44.7%,-22,W
2021,Wimbledon,SF,Berrettini,28.1%,41.3%,45.3%,36.2%,34.8%,49.3%,51.1%,49.0%,45.7%,58.8%,80.0%,19.6%,31.4%,39.0%,-50,L
2021,Wimbledon,QF,Federer,34.1%,47.7%,56.4%,37.5%,51.9%,63.5%,56.0%,57.7%,50.0%,46.2%,-,9.1%,27.3%,56.7%,-26,W
2021,Wimbledon,R16,Medvedev,27.1%,43.9%,54.4%,35.9%,40.2%,60.9%,61.8%,55.1%,66.7%,53.2%,60.0%,9.4%,22.6%,45.8%,-22,W
2021,Wimbledon,R32,Bublik,35.1%,44.6%,66.7%,41.8%,42.3%,51.9%,66.7%,51.7%,22.7%,33.3%,-,18.2%,27.3%,66.7%,-79,W
2021,Halle,R32,Auger Aliassime,34.0%,45.3%,44.1%,39.8%,40.0%,54.3%,42.9%,48.9%,33.3%,40.0%,0.0%,23.5%,29.4%,46.2%,5,L
2021,Stuttgart,R16,Stricker,35.6%,49.4%,49.0%,43.3%,48.3%,67.2%,63.3%,59.8%,53.8%,46.9%,100.0%,12.5%,16.7%,28.6%,9,L
2021,Roland Garros,R128,Van De Zandschulp,35.1%,48.7%,44.9%,42.3%,43.0%,57.0%,47.4%,54.2%,57.1%,53.4%,57.1%,21.2%,34.6%,41.5%,-23,L
2021,Rome,R64,Musetti,23.7%,42.1%,46.4%,35.3%,30.4%,47.8%,56.3%,49.6%,72.7%,33.3%,33.3%,14.3%,35.7%,33.3%,22,L
2021,Madrid,R64,Millman,35.4%,45.5%,54.1%,41.2%,51.0%,66.7%,64.0%,62.4%,60.9%,32.1%,66.7%,20.0%,24.4%,47.2%,16,L
2021,Monte Carlo,R32,Evans,17.7%,32.3%,43.8%,27.1%,18.4%,39.5%,45.2%,33.7%,47.6%,58.8%,66.7%,19.0%,23.8%,41.2%,65,L
2021,Miami,F,Sinner,24.6%,33.3%,47.1%,30.7%,30.6%,42.9%,55.9%,39.2%,83.3%,64.0%,100.0%,10.5%,10.5%,29.4%,-8,W
2021,Miami,SF,Rublev,28.8%,42.5%,51.0%,35.9%,37.8%,55.6%,57.1%,49.3%,47.8%,22.7%,0.0%,14.8%,22.2%,43.5%,-25,W
2021,Miami,QF,Tsitsipas,31.5%,38.0%,43.5%,36.2%,38.3%,46.7%,43.2%,45.5%,44.8%,51.6%,50.0%,19.4%,22.6%,44.0%,-32,W
2021,Miami,R16,Raonic,43.0%,55.0%,52.8%,49.9%,52.2%,65.7%,59.4%,62.5%,46.4%,48.7%,0.0%,27.6%,37.9%,42.9%,105,W
2021,Miami,R32,Shapovalov,39.1%,49.3%,63.4%,43.6%,44.7%,55.3%,65.4%,51.3%,39.1%,41.7%,0.0%,28.6%,38.1%,60.0%,-10,W
2021,Miami,R64,Kudla,40.3%,56.7%,55.6%,46.3%,52.4%,71.4%,65.0%,61.9%,50.0%,59.1%,50.0%,23.8%,38.1%,43.8%,102,W
2021,Dubai,R16,Shapovalov,37.9%,42.4%,27.5%,40.3%,43.1%,47.1%,27.6%,46.3%,54.2%,40.7%,0.0%,21.4%,28.6%,27.3%,22,L
2021,Dubai,R32,Gasquet,38.8%,55.1%,70.0%,46.3%,47.1%,61.8%,66.7%,57.9%,61.5%,38.1%,-,20.0%,40.0%,75.0%,-79,W
2021,Rotterdam,R16,Tsitsipas,22.1%,40.0%,62.1%,31.2%,35.8%,54.7%,64.7%,52.1%,50.0%,48.1%,100.0%,5.9%,26.5%,59.4%,-63,L
2021,Rotterdam,R32,Mannarino,38.3%,46.9%,39.6%,41.4%,51.0%,60.8%,36.0%,55.9%,40.9%,58.6%,40.0%,17.9%,25.0%,43.5%,22,W
2021,Montpellier,R16,Davidovich Fokina,26.4%,36.1%,40.8%,31.5%,36.2%,46.8%,40.0%,44.0%,45.0%,51.9%,57.1%,9.5%,19.0%,42.1%,-30,L
2021,Australian Open,R128,Ymer,34.1%,45.2%,51.2%,42.0%,41.1%,54.7%,50.0%,52.3%,63.6%,41.2%,16.7%,18.9%,24.3%,53.3%,34,L
2021,Delray Beach,F,Korda,48.0%,52.0%,38.5%,50.2%,56.4%,59.0%,29.4%,59.2%,41.2%,36.4%,0.0%,18.2%,27.3%,55.6%,-79,W
2021,Delray Beach,SF,Harrison,40.0%,47.1%,41.5%,42.9%,50.0%,59.1%,36.4%,54.5%,47.1%,48.1%,100.0%,24.0%,28.0%,47.4%,-21,W
2021,Delray Beach,QF,Quiroz,31.5%,38.9%,55.6%,35.4%,38.5%,46.2%,58.3%,43.8%,55.6%,33.3%,100.0%,14.3%,21.4%,50.0%,22,W
2021,Delray Beach,R16,Galan,37.2%,46.5%,66.7%,44.9%,38.5%,50.0%,68.8%,51.2%,42.9%,50.0%,0.0%,35.3%,41.2%,63.6%,-79,W
2020,Vienna,R16,Sonego,30.1%,44.6%,53.7%,37.0%,41.7%,60.4%,64.3%,53.5%,52.6%,44.8%,33.3%,16.1%,25.8%,42.3%,39,L
2020,Vienna,R32,Balazs,31.1%,37.7%,61.1%,39.3%,44.1%,55.9%,78.9%,58.8%,47.1%,35.3%,-,19.0%,19.0%,41.2%,45,W
2020,Cologne 1,QF,Bautista Agut,22.9%,35.6%,48.3%,30.1%,36.6%,52.1%,57.8%,48.6%,40.6%,53.8%,50.0%,2.3%,11.6%,38.1%,-95,L
2020,Cologne 1,R16,Zverev,21.7%,30.4%,62.0%,33.9%,26.3%,42.1%,67.9%,48.4%,57.9%,36.8%,75.0%,18.5%,18.5%,54.5%,59,W
2020,Roland Garros,R128,Sandgren,23.0%,33.5%,54.1%,30.6%,29.8%,42.7%,57.5%,42.1%,46.7%,71.9%,77.8%,13.2%,20.6%,49.2%,12,L
2020,Rome,R32,Rublev,39.3%,47.2%,47.2%,42.9%,53.7%,61.1%,48.0%,59.6%,52.0%,31.0%,0.0%,17.6%,26.5%,46.4%,-36,W
2020,Dubai,R32,Bublik,17.9%,26.9%,44.2%,23.6%,22.9%,34.3%,51.9%,33.7%,30.8%,50.0%,33.3%,13.8%,20.7%,36.0%,19,L
2020,Rotterdam,R32,Tsitsipas,24.5%,33.7%,45.6%,30.6%,39.2%,51.0%,51.6%,51.0%,42.9%,66.7%,60.0%,9.8%,17.1%,40.5%,-24,L
2020,Auckland,SF,Paire,27.4%,39.3%,47.2%,35.1%,36.0%,50.0%,53.1%,49.0%,41.7%,53.8%,0.0%,19.2%,30.8%,38.1%,49,L
2020,Auckland,QF,Lopez,38.1%,48.5%,57.9%,44.9%,44.3%,54.1%,64.7%,55.1%,48.1%,52.9%,-,30.3%,42.4%,47.8%,47,W
2020,Auckland,R32,Sonego,32.4%,45.9%,55.3%,40.3%,44.7%,61.7%,65.4%,57.0%,52.6%,60.7%,33.3%,12.5%,20.8%,42.9%,4,W
2020,Atp Cup,RR,Schwartzman,37.9%,51.6%,46.4%,45.1%,50.0%,65.2%,54.5%,60.3%,56.7%,52.8%,33.3%,11.5%,23.1%,34.8%,-4,W
2020,Atp Cup,RR,Coric,40.0%,52.5%,66.7%,45.2%,52.0%,64.0%,66.7%,60.4%,36.4%,28.6%,-,20.0%,33.3%,66.7%,-79,W
2020,Atp Cup,RR,Thiem,36.1%,43.4%,43.4%,40.3%,51.4%,62.2%,47.2%,58.4%,53.1%,57.1%,66.7%,13.0%,15.2%,40.0%,-16,W
2019,Paris,R64,Cilic,33.3%,46.2%,52.1%,40.3%,37.3%,49.0%,56.3%,47.8%,25.0%,44.4%,33.3%,30.4%,47.8%,43.8%,145,L
2019,Vienna,R32,Khachanov,13.1%,29.8%,53.6%,23.2%,21.3%,44.7%,56.8%,39.4%,38.1%,57.7%,100.0%,3.0%,12.1%,50.0%,-88,L
2019,Shanghai,R16,Tsitsipas,28.7%,44.7%,72.1%,38.8%,31.7%,52.4%,74.4%,46.8%,29.2%,28.2%,0.0%,28.0%,36.0%,66.7%,130,L
2019,Shanghai,R32,Monfils,35.7%,50.0%,68.6%,46.1%,43.2%,64.9%,76.2%,58.9%,42.9%,60.9%,0.0%,22.2%,22.2%,57.1%,1,W
2019,Tokyo,R32,Pouille,33.3%,43.3%,47.2%,39.3%,33.3%,48.7%,57.7%,42.6%,29.4%,50.0%,80.0%,41.2%,41.2%,20.0%,209,L
2019,Winston-Salem,F,Paire,22.8%,32.6%,49.3%,29.2%,26.6%,37.5%,55.3%,35.8%,83.3%,41.2%,33.3%,16.7%,25.0%,35.0%,39,W
2019,Winston-Salem,SF,Shapovalov,45.6%,54.4%,60.0%,49.5%,51.9%,59.3%,46.2%,60.0%,25.0%,46.7%,0.0%,41.4%,51.7%,70.6%,-29,W
2019,Cincinnati,R64,Bautista Agut,38.9%,45.8%,40.0%,43.5%,63.2%,71.1%,64.3%,71.8%,56.3%,45.5%,-,16.0%,24.0%,23.8%,34,L
2019,Canada,R16,Monfils,25.5%,36.4%,39.5%,30.5%,35.5%,41.9%,45.0%,44.5%,53.8%,33.3%,60.0%,14.3%,33.3%,33.3%,19,L
2019,Canada,R32,Tsitsipas,36.1%,50.6%,62.7%,43.7%,48.2%,64.3%,58.6%,59.5%,46.4%,50.0%,83.3%,12.0%,24.0%,68.2%,4,W
2019,Canada,R64,Fritz,34.3%,49.3%,56.1%,41.3%,44.2%,57.7%,58.6%,53.3%,44.0%,40.7%,33.3%,0.0%,25.0%,50.0%,-118,W
2019,Washington,R32,Isner,45.0%,58.3%,40.6%,50.2%,56.8%,70.3%,37.5%,65.1%,47.4%,55.6%,100.0%,27.3%,40.9%,43.8%,-13,L
2019,Washington,R64,Young,42.1%,49.1%,50.0%,45.8%,48.6%,57.1%,55.6%,54.6%,47.1%,66.7%,50.0%,36.8%,42.1%,41.7%,127,W
2019,Wimbledon,R32,Djokovic,27.4%,41.5%,51.6%,35.3%,36.1%,53.0%,50.9%,48.9%,50.0%,48.9%,50.0%,15.6%,26.7%,52.6%,30,L
2019,Eastbourne,QF,Fritz,29.6%,45.7%,51.9%,38.0%,34.0%,52.8%,60.0%,46.8%,45.8%,34.5%,50.0%,26.1%,39.1%,35.3%,118,L
2019,Halle,R32,Sousa,37.9%,43.1%,38.7%,40.5%,48.7%,56.4%,45.0%,52.6%,55.0%,31.6%,66.7%,21.4%,21.4%,27.3%,56,L
2019,Roland Garros,R128,Djokovic,22.7%,33.3%,37.7%,27.5%,31.0%,45.2%,41.4%,39.5%,42.3%,56.3%,100.0%,14.3%,21.4%,33.3%,22,L
2019,Madrid,R16,Zverev,21.0%,33.3%,50.7%,29.7%,27.7%,43.1%,53.2%,41.8%,64.5%,55.9%,75.0%,12.5%,21.9%,46.4%,-8,L
2019,Madrid,R32,Pouille,46.0%,57.1%,53.1%,53.7%,57.1%,71.4%,66.7%,68.6%,25.0%,50.0%,50.0%,26.3%,31.6%,35.7%,65,W
2019,Budapest,R32,Balazs,28.3%,37.0%,53.1%,36.5%,37.1%,48.6%,45.5%,48.0%,36.8%,62.5%,-,0.0%,0.0%,70.0%,-118,L
2019,Monte Carlo,R64,Coric,22.6%,34.0%,54.5%,28.2%,26.8%,39.3%,46.3%,37.3%,50.0%,46.7%,20.0%,20.0%,31.1%,63.9%,72,L
2019,Miami,R32,Auger Aliassime,38.7%,45.3%,48.9%,41.5%,46.2%,51.9%,53.6%,50.2%,55.0%,37.5%,0.0%,22.7%,31.8%,41.2%,-13,L
2019,Miami,R64,Thiem,22.4%,29.3%,58.1%,27.1%,43.3%,53.3%,76.5%,52.3%,42.9%,62.5%,100.0%,0.0%,3.8%,46.2%,-118,W
2019,Miami,R128,Berrettini,33.3%,50.0%,53.8%,42.0%,43.2%,61.4%,48.0%,55.0%,36.8%,56.0%,50.0%,6.7%,20.0%,64.3%,-49,W
2019,Indian Wells,QF,Federer,29.5%,34.4%,51.3%,33.1%,35.1%,40.5%,58.3%,41.1%,47.1%,35.0%,50.0%,25.0%,30.0%,40.0%,111,L
2019,Indian Wells,R16,Shapovalov,28.0%,37.0%,51.5%,32.7%,34.3%,44.8%,54.5%,41.3%,48.3%,42.1%,50.0%,18.5%,25.9%,45.5%,49,W
2019,Indian Wells,R64,Pouille,29.7%,41.9%,49.0%,36.1%,38.5%,56.4%,50.0%,50.5%,71.4%,56.0%,33.3%,20.6%,26.5%,48.1%,-36,W
2019,Indian Wells,R128,Young,28.6%,32.9%,40.8%,34.3%,33.3%,37.3%,41.2%,41.2%,77.3%,44.8%,66.7%,16.7%,22.2%,40.0%,1,W
2019,Dubai,QF,Tsitsipas,32.7%,43.0%,45.8%,39.8%,37.5%,48.6%,51.1%,48.1%,41.9%,61.0%,100.0%,22.9%,31.4%,37.0%,-79,L
2019,Dubai,R16,Nishikori,32.3%,40.9%,46.8%,38.6%,39.1%,49.3%,42.9%,47.7%,58.6%,55.0%,60.0%,13.0%,17.4%,55.0%,-16,W
2019,Dubai,R32,Moutet,25.0%,46.7%,71.4%,37.3%,32.4%,59.5%,76.0%,52.4%,60.0%,59.1%,-,15.0%,30.0%,64.7%,25,W
2019,Marseille,R16,Tsitsipas,28.3%,35.0%,40.0%,33.7%,34.0%,42.6%,29.0%,40.9%,52.6%,53.6%,33.3%,10.0%,10.0%,77.8%,-33,L
2019,Marseille,R32,Krajinovic,32.8%,42.2%,53.7%,37.7%,48.6%,62.2%,57.9%,57.0%,50.0%,56.5%,66.7%,12.0%,16.0%,50.0%,-21,W
2019,Montpellier,R32,Gulbis,27.2%,40.7%,51.8%,35.1%,34.7%,51.0%,59.4%,47.8%,65.0%,44.8%,60.0%,17.2%,27.6%,41.7%,54,L
2019,Canberra CH,F,Ivashka,32.6%,39.5%,51.9%,36.3%,52.0%,60.0%,62.5%,58.4%,52.2%,40.7%,0.0%,6.7%,13.3%,42.9%,-57,W
2018,NextGen Finals,RR,Munar,23.8%,32.5%,55.2%,29.3%,28.8%,36.5%,59.5%,37.3%,33.3%,61.3%,0.0%,16.0%,28.0%,47.6%,39,W
2018,NextGen Finals,RR,Tiafoe,41.8%,53.7%,48.6%,45.7%,54.2%,62.5%,40.9%,59.6%,44.4%,43.3%,33.3%,13.3%,40.0%,61.5%,-2,L
2018,NextGen Finals,RR,Tsitsipas,26.8%,43.9%,48.3%,38.8%,29.6%,48.1%,57.9%,47.8%,57.1%,55.0%,100.0%,23.1%,38.5%,30.0%,29,L
2018,Shanghai,R64,Chung,24.7%,29.9%,36.8%,28.2%,28.3%,34.0%,31.6%,33.4%,37.0%,46.2%,50.0%,17.4%,21.7%,47.4%,-16,L
