Date,Tournament,Rd,Rival,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%.1,RiP W%.1,SvImpact.1,D Wide%,A Wide%,2nd: Unret%,<=3 W%.2,RiP W%.2,2ndAgg,W_or_L
2021,Belgrade 2,F,Molcan,18.4%,26.5%,54.1%,25.1%,29.6%,40.7%,57.9%,41.9%,38.5%,57.1%,5.3%,10.5%,50.0%,-68,W
2021,Rome,F,Nadal,21.1%,26.3%,50.7%,24.4%,27.0%,33.3%,52.2%,32.1%,61.8%,48.3%,10.7%,14.3%,48.0%,-15,L
2021,Rome,SF,Sonego,22.1%,32.6%,66.7%,32.4%,25.8%,40.9%,71.4%,40.6%,52.0%,51.2%,14.8%,14.8%,56.5%,25,W
2021,Belgrade,SF,Karatsev,21.6%,28.4%,47.1%,26.1%,22.2%,31.9%,50.0%,29.6%,45.7%,56.8%,23.7%,26.3%,41.4%,107,L
2021,Monte Carlo,R16,Evans,15.4%,26.2%,47.1%,21.8%,18.4%,34.2%,48.4%,29.5%,47.4%,42.1%,13.0%,17.4%,45.0%,4,L
2021,Australian Open,F,Medvedev,25.6%,34.6%,58.9%,34.0%,34.6%,48.1%,58.8%,47.1%,45.8%,57.1%,8.3%,8.3%,59.1%,-33,W
2021,Australian Open,SF,Karatsev,40.7%,44.4%,47.8%,42.6%,45.5%,50.9%,46.7%,48.2%,45.8%,54.8%,33.3%,33.3%,50.0%,37,W
2021,Australian Open,QF,Zverev,35.2%,45.7%,48.0%,42.4%,44.5%,57.1%,50.0%,54.4%,51.9%,41.8%,10.5%,15.8%,44.1%,-16,W
2021,Australian Open,R16,Raonic,36.4%,52.9%,58.1%,45.0%,45.1%,64.6%,60.0%,57.8%,52.9%,47.9%,19.4%,30.6%,55.2%,37,W
2021,Australian Open,R32,Fritz,32.1%,44.7%,53.4%,40.4%,38.1%,54.3%,60.0%,50.8%,58.8%,51.9%,22.4%,28.6%,42.1%,61,W
2021,Australian Open,R64,Tiafoe,44.2%,53.3%,58.1%,48.9%,55.4%,67.6%,63.6%,63.1%,46.9%,40.5%,29.3%,34.1%,51.7%,86,W
2020,Tour Finals,SF,Thiem,34.2%,43.9%,56.0%,41.8%,44.6%,56.8%,73.2%,56.4%,41.9%,46.5%,15.0%,20.0%,35.3%,-79,L
2020,Tour Finals,RR,Medvedev,20.6%,30.9%,51.0%,27.8%,30.0%,42.5%,53.6%,42.3%,40.0%,65.0%,8.7%,17.4%,47.6%,-39,L
2020,Vienna,QF,Sonego,19.6%,31.4%,36.8%,26.9%,32.1%,50.0%,42.1%,45.4%,72.7%,52.9%,5.0%,10.0%,31.6%,-70,L
2020,Roland Garros,F,Nadal,5.1%,15.2%,48.9%,13.2%,7.6%,21.2%,45.9%,19.8%,45.5%,42.4%,0.0%,3.4%,55.2%,-118,L
2020,Roland Garros,SF,Tsitsipas,25.5%,37.3%,54.6%,33.5%,30.4%,46.1%,60.6%,42.4%,45.5%,53.4%,17.8%,22.2%,43.2%,54,W
2020,Roland Garros,QF,Carreno Busta,22.1%,29.0%,55.7%,29.3%,30.3%,40.8%,58.5%,42.6%,55.9%,50.0%,12.0%,14.0%,52.3%,2,W
2020,Rome,F,Schwartzman,12.9%,27.1%,55.0%,23.4%,19.1%,40.4%,63.2%,34.9%,59.1%,60.0%,0.0%,0.0%,40.9%,-118,W
2020,Rome,SF,Ruud,27.8%,41.8%,55.4%,34.4%,34.0%,49.1%,54.3%,43.8%,40.9%,64.5%,16.0%,28.0%,57.1%,-21,W
2020,US Open,R32,Struff,30.9%,40.7%,64.7%,38.1%,41.5%,54.7%,64.5%,52.6%,50.0%,34.5%,13.0%,17.4%,65.0%,0,W
2020,Cincinnati,F,Raonic,26.3%,36.8%,52.9%,28.9%,38.5%,48.7%,58.3%,43.6%,40.0%,68.4%,15.6%,28.1%,48.1%,31,W
2020,Cincinnati,SF,Bautista Agut,29.1%,37.9%,43.9%,34.5%,43.1%,51.7%,45.5%,52.6%,31.0%,51.7%,13.2%,23.7%,42.4%,4,W
2020,Dubai,F,Tsitsipas,26.3%,36.8%,59.5%,33.9%,30.6%,44.4%,68.0%,42.5%,66.7%,53.3%,19.0%,23.8%,47.1%,-79,W
2020,Dubai,SF,Monfils,20.8%,31.3%,48.0%,28.0%,23.9%,36.6%,48.1%,33.7%,40.0%,43.9%,12.5%,16.7%,47.6%,-19,W
2020,Australian Open,F,Thiem,23.9%,36.6%,59.8%,32.3%,27.6%,42.5%,66.7%,40.6%,42.9%,51.1%,19.0%,28.6%,47.1%,69,W
2020,Australian Open,SF,Federer,29.4%,38.2%,54.9%,34.7%,37.0%,45.2%,56.5%,44.4%,42.4%,55.0%,10.7%,21.4%,52.0%,-27,W
2020,Australian Open,QF,Raonic,35.6%,44.6%,61.4%,40.2%,45.5%,57.6%,77.8%,52.4%,40.0%,52.8%,22.2%,25.9%,33.3%,-25,W
2020,Australian Open,R16,Schwartzman,30.2%,43.0%,60.3%,35.0%,38.9%,51.9%,57.6%,46.5%,40.0%,41.4%,16.7%,30.0%,64.0%,-30,W
2020,Atp Cup,F,Nadal,35.9%,57.8%,69.2%,46.3%,42.9%,67.3%,71.4%,56.3%,57.1%,50.0%,15.4%,30.8%,63.6%,29,W
2020,Atp Cup,SF,Medvedev,19.8%,31.5%,56.0%,28.5%,28.0%,44.0%,59.3%,40.8%,42.4%,50.0%,3.2%,6.5%,50.0%,-87,W
2019,Tour Finals,RR,Berrettini,35.0%,42.5%,64.0%,38.8%,41.7%,54.2%,57.1%,47.9%,33.3%,41.7%,26.7%,26.7%,72.7%,16,W
2019,Tour Finals,RR,Thiem,29.0%,36.6%,50.0%,34.2%,36.2%,46.6%,56.8%,44.5%,39.1%,40.0%,19.4%,22.6%,40.0%,55,L
2019,Tour Finals,RR,Federer,14.5%,22.6%,48.0%,21.8%,19.6%,26.1%,45.9%,29.3%,60.0%,46.2%,0.0%,15.4%,53.8%,-118,L
2019,Paris,F,Shapovalov,56.9%,66.7%,57.1%,59.8%,66.7%,75.0%,41.7%,70.8%,25.0%,40.0%,35.7%,50.0%,77.8%,22,W
2019,Paris,SF,Dimitrov,33.9%,41.9%,73.0%,38.9%,45.0%,57.5%,72.7%,52.8%,52.6%,38.1%,16.7%,16.7%,73.3%,32,W
2019,Paris,QF,Tsitsipas,23.8%,42.9%,71.9%,34.0%,27.6%,44.8%,71.4%,42.4%,16.7%,52.9%,15.4%,38.5%,72.7%,-79,W
2019,Shanghai,QF,Tsitsipas,30.2%,37.2%,60.3%,35.8%,33.8%,43.1%,55.8%,41.2%,41.2%,32.3%,21.1%,21.1%,73.3%,65,L
2019,Shanghai,R32,Shapovalov,34.0%,46.8%,74.2%,41.7%,34.3%,51.4%,82.6%,44.6%,47.4%,37.5%,33.3%,33.3%,50.0%,-79,W
2019,Tokyo,F,Millman,46.8%,51.1%,56.0%,47.9%,60.0%,63.3%,66.7%,61.7%,25.0%,42.9%,23.5%,29.4%,46.2%,-79,W
2019,US Open,R16,Wawrinka,27.4%,34.2%,45.5%,31.8%,37.5%,47.5%,52.0%,45.5%,44.0%,46.7%,20.8%,25.0%,36.8%,72,L
2019,Cincinnati,SF,Medvedev,30.4%,37.7%,57.4%,35.9%,38.0%,46.0%,54.8%,45.6%,42.3%,41.7%,11.1%,16.7%,62.5%,-2,L
2019,Wimbledon,F,Federer,23.3%,31.1%,56.0%,28.2%,33.1%,42.6%,61.5%,41.0%,38.1%,46.6%,8.1%,13.5%,48.5%,-38,W
2019,Wimbledon,SF,Bautista Agut,24.3%,38.3%,59.5%,33.0%,31.1%,51.4%,66.7%,44.5%,51.3%,42.9%,13.2%,15.8%,48.5%,16,W
2019,Wimbledon,QF,Goffin,31.3%,37.3%,50.9%,34.7%,52.1%,56.3%,47.8%,57.9%,36.8%,37.9%,3.2%,12.9%,53.3%,-86,W
2019,Wimbledon,R16,Humbert,22.7%,36.4%,75.5%,30.8%,28.3%,43.5%,72.7%,39.8%,36.8%,44.4%,11.1%,22.2%,81.3%,-8,W
2019,Wimbledon,R32,Hurkacz,33.1%,46.2%,63.3%,40.8%,45.9%,61.2%,65.2%,57.8%,37.1%,56.0%,10.8%,21.6%,60.6%,-20,W
2019,Wimbledon,R64,Kudla,38.4%,53.4%,54.8%,45.5%,50.0%,66.7%,58.3%,60.8%,40.9%,65.4%,18.2%,31.8%,50.0%,47,W
2019,Wimbledon,R128,Kohlschreiber,39.5%,51.3%,62.8%,47.1%,48.0%,64.0%,69.2%,59.6%,28.6%,31.8%,26.1%,30.4%,52.9%,96,W
2019,Roland Garros,SF,Thiem,16.9%,27.1%,51.1%,24.7%,19.2%,33.1%,52.4%,29.8%,41.0%,59.4%,12.2%,12.2%,47.2%,4,L
2019,Roland Garros,R128,Hurkacz,41.3%,47.6%,65.7%,47.5%,48.8%,55.8%,63.6%,57.9%,45.0%,60.9%,27.8%,33.3%,69.2%,1,W
2019,Rome,F,Nadal,15.6%,28.1%,43.8%,26.4%,19.2%,34.2%,50.8%,33.3%,51.4%,44.4%,4.5%,9.1%,23.8%,-70,L
2019,Rome,SF,Schwartzman,15.2%,27.3%,61.4%,24.4%,15.4%,30.8%,63.6%,29.5%,37.0%,57.9%,15.2%,21.2%,57.1%,-35,W
2019,Rome,QF,del Potro,19.2%,35.4%,63.6%,28.6%,18.2%,40.9%,59.3%,32.3%,39.3%,57.9%,23.3%,26.7%,73.9%,59,W
2019,Madrid,F,Tsitsipas,20.3%,28.8%,63.8%,28.6%,25.0%,37.5%,70.0%,37.3%,71.4%,61.5%,10.5%,10.5%,52.9%,-79,W
2019,Madrid,SF,Thiem,28.9%,43.3%,49.2%,35.1%,36.4%,54.5%,60.0%,46.5%,41.7%,58.1%,17.6%,26.5%,35.7%,-36,W
2019,Monte Carlo,QF,Medvedev,14.3%,20.9%,52.0%,18.9%,12.0%,24.0%,61.4%,20.4%,42.9%,48.3%,18.4%,18.4%,38.7%,32,L
2019,Indian Wells,R32,Kohlschreiber,23.2%,32.1%,50.0%,28.9%,32.4%,43.2%,52.0%,41.1%,50.0%,47.4%,6.3%,12.5%,46.7%,-60,L
2019,Australian Open,F,Nadal,24.6%,42.0%,75.0%,32.2%,28.0%,44.0%,72.2%,38.4%,54.5%,42.9%,15.8%,36.8%,81.3%,-79,W
2019,Australian Open,SF,Pouille,37.7%,56.6%,75.8%,48.5%,36.8%,60.5%,75.0%,51.8%,45.0%,55.6%,40.0%,46.7%,77.8%,-79,W
2019,Australian Open,QF,Nishikori,31.0%,44.8%,84.2%,40.3%,35.0%,50.0%,76.9%,48.5%,11.1%,63.6%,25.0%,37.5%,100.0%,89,W
2019,Australian Open,R16,Medvedev,21.4%,34.9%,58.5%,30.6%,26.2%,45.2%,62.9%,40.0%,40.5%,51.1%,13.5%,16.2%,50.0%,13,W
2019,Australian Open,R32,Shapovalov,30.0%,38.9%,60.3%,34.4%,31.5%,46.3%,62.2%,38.9%,56.5%,54.8%,32.3%,32.3%,57.1%,94,W
2019,Doha,SF,Bautista Agut,27.2%,37.7%,55.0%,33.5%,32.9%,41.1%,49.0%,42.7%,44.8%,59.1%,18.4%,34.2%,64.5%,32,L
2019,Doha,QF,Basilashvili,36.0%,43.0%,48.1%,39.7%,45.6%,54.4%,48.4%,51.1%,46.4%,51.7%,19.2%,23.1%,47.6%,72,W
2018,Tour Finals,F,Zverev,22.8%,29.8%,46.5%,28.4%,29.4%,41.2%,62.5%,38.8%,42.9%,45.0%,13.6%,13.6%,26.3%,-13,L
2018,Tour Finals,SF,Anderson,41.0%,48.7%,72.7%,46.7%,51.9%,59.3%,69.2%,60.0%,53.3%,75.0%,18.2%,27.3%,77.8%,47,W
2018,Tour Finals,RR,Isner,44.2%,53.5%,78.3%,51.6%,43.3%,56.7%,76.5%,54.0%,42.9%,50.0%,50.0%,50.0%,83.3%,37,W
2018,Tour Finals,RR,Zverev,23.1%,30.8%,70.3%,26.0%,28.1%,37.5%,65.2%,32.8%,42.9%,33.3%,17.6%,23.5%,78.6%,47,W
2018,Paris,F,Khachanov,26.8%,39.4%,49.0%,36.6%,30.2%,48.8%,56.7%,46.5%,45.5%,57.1%,22.2%,25.9%,38.1%,-25,L
2018,Paris,SF,Federer,31.9%,41.6%,62.3%,37.9%,32.5%,45.5%,61.5%,41.3%,25.0%,60.0%,30.6%,33.3%,64.0%,-79,W
2018,Shanghai,F,Coric,32.7%,40.4%,74.3%,38.8%,40.6%,53.1%,84.2%,50.6%,50.0%,58.3%,20.0%,20.0%,62.5%,-79,W
2018,Shanghai,SF,Zverev,37.0%,43.5%,57.1%,42.8%,42.4%,51.5%,63.2%,50.6%,69.2%,55.0%,25.0%,25.0%,44.4%,37,W
2018,US Open,F,del Potro,13.6%,22.0%,60.0%,18.8%,14.9%,28.4%,61.9%,23.2%,45.7%,41.0%,11.9%,11.9%,56.8%,-10,W
2018,US Open,SF,Nishikori,37.2%,47.4%,66.0%,45.5%,40.0%,54.0%,66.7%,53.0%,55.0%,46.7%,34.6%,38.5%,64.7%,29,W
2018,US Open,QF,Millman,22.1%,32.6%,66.7%,29.0%,24.1%,36.2%,65.9%,34.3%,56.0%,42.4%,20.8%,29.2%,68.4%,78,W
2018,Cincinnati,F,Federer,47.2%,49.1%,53.8%,49.2%,40.0%,42.9%,52.4%,43.1%,40.0%,45.0%,68.8%,68.8%,60.0%,89,W
2018,Cincinnati,SF,Cilic,24.0%,33.3%,52.2%,30.7%,33.3%,45.0%,57.5%,44.2%,53.1%,42.9%,9.4%,15.6%,44.8%,-26,W
2018,Canada,R16,Tsitsipas,27.8%,38.1%,59.1%,32.3%,35.7%,44.6%,58.3%,43.4%,60.7%,42.9%,18.9%,32.4%,60.0%,69,L
2018,Wimbledon,F,Anderson,36.2%,45.7%,62.5%,42.3%,39.7%,51.5%,61.0%,48.2%,40.0%,46.5%,31.8%,36.4%,66.7%,154,W
2018,Wimbledon,SF,Nadal,30.7%,43.8%,55.1%,39.0%,37.3%,54.0%,60.8%,49.0%,30.4%,47.1%,15.2%,19.6%,43.6%,36,W
2018,Wimbledon,QF,Nishikori,23.1%,36.3%,64.2%,32.4%,27.9%,45.9%,79.5%,41.8%,35.7%,51.5%,14.8%,18.5%,34.8%,29,W
2018,Queen's Club,F,Cilic,41.3%,47.7%,52.5%,44.0%,54.3%,61.7%,48.6%,58.0%,47.4%,44.2%,4.3%,8.7%,59.1%,-79,L
2018,Queen's Club,QF,Mannarino,34.5%,49.1%,61.8%,42.2%,42.9%,60.0%,70.0%,54.9%,44.4%,58.8%,22.2%,33.3%,50.0%,72,W
2018,Queen's Club,R16,Dimitrov,48.1%,55.8%,65.2%,54.2%,58.8%,70.6%,71.4%,68.2%,46.7%,47.4%,35.7%,35.7%,55.6%,187,W
2018,Roland Garros,QF,Cecchinato,24.4%,35.4%,49.5%,31.2%,31.0%,42.9%,48.3%,41.2%,37.5%,57.7%,13.2%,23.7%,51.5%,-3,L
2018,Roland Garros,R64,Munar,20.2%,38.4%,63.5%,29.6%,23.2%,44.9%,62.3%,36.7%,48.1%,52.4%,16.0%,28.0%,66.7%,29,W
2018,Rome,SF,Nadal,20.6%,33.3%,50.0%,30.3%,26.7%,37.8%,45.5%,40.2%,65.0%,44.0%,5.6%,22.2%,58.8%,-79,L
2018,Monte Carlo,R16,Thiem,28.1%,32.5%,42.5%,32.5%,36.1%,41.7%,43.5%,43.1%,41.2%,68.4%,15.0%,17.5%,41.2%,-7,L
2018,Monte Carlo,R32,Coric,22.8%,29.3%,52.9%,28.2%,26.7%,35.0%,54.5%,34.8%,37.0%,54.5%,16.1%,19.4%,50.0%,-32,W
2018,Monte Carlo,R64,Lajovic,26.7%,35.6%,64.5%,35.3%,32.1%,42.9%,73.7%,46.1%,57.1%,57.1%,20.0%,26.7%,50.0%,76,W
2018,Australian Open,R32,Ramos,25.3%,36.8%,61.3%,33.9%,29.1%,45.5%,71.8%,42.7%,57.7%,41.4%,20.7%,24.1%,43.5%,63,W
2018,Australian Open,R64,Monfils,16.2%,27.4%,63.1%,23.3%,17.3%,34.7%,67.7%,28.4%,54.8%,47.7%,21.4%,21.4%,50.0%,51,W
2017,Eastbourne,F,Monfils,25.9%,41.4%,59.5%,34.8%,30.2%,48.8%,63.3%,42.3%,55.0%,56.5%,14.3%,21.4%,50.0%,22,W
2017,Eastbourne,SF,Medvedev,28.1%,32.8%,59.5%,31.4%,40.5%,48.6%,77.3%,46.2%,56.3%,42.9%,13.0%,13.0%,40.0%,4,W
2017,Roland Garros,QF,Thiem,18.3%,26.9%,41.5%,23.3%,22.4%,34.3%,44.2%,30.1%,64.7%,51.5%,11.8%,14.7%,36.7%,1,L
2017,Roland Garros,R32,Schwartzman,15.8%,25.4%,66.3%,25.5%,17.5%,28.7%,72.7%,31.4%,44.4%,52.3%,12.1%,18.2%,51.7%,-35,W
2017,Rome,F,Zverev,22.4%,31.3%,49.0%,27.8%,30.2%,44.2%,56.7%,38.6%,52.2%,65.0%,9.5%,9.5%,36.8%,-26,L
2017,Rome,SF,Thiem,30.2%,44.2%,60.0%,37.7%,38.7%,51.6%,68.4%,49.0%,14.3%,70.6%,8.3%,25.0%,45.5%,-79,W
2017,Madrid,SF,Nadal,19.6%,25.0%,41.9%,27.0%,23.1%,25.6%,43.3%,33.6%,58.8%,40.9%,13.3%,26.7%,38.5%,11,L
2017,Madrid,R32,Almagro,22.4%,32.9%,59.4%,30.6%,25.4%,39.0%,59.1%,37.3%,60.9%,52.8%,16.7%,20.8%,60.0%,37,W
2017,Monte Carlo,QF,Goffin,16.4%,27.3%,53.4%,23.6%,19.7%,33.8%,57.9%,31.0%,50.0%,36.6%,11.4%,17.1%,45.2%,-5,L
2017,Monte Carlo,R16,Carreno Busta,15.6%,34.4%,56.6%,27.6%,18.6%,47.5%,68.8%,38.1%,55.6%,46.9%,12.5%,15.6%,35.7%,1,W
2017,Monte Carlo,R32,Simon,19.3%,28.9%,53.0%,27.8%,17.6%,31.4%,54.8%,31.6%,47.8%,46.4%,22.6%,25.8%,50.0%,-32,W
2017,Indian Wells,R16,Kyrgios,19.5%,34.1%,56.1%,29.3%,24.0%,44.0%,60.5%,40.0%,48.1%,39.1%,12.5%,18.8%,50.0%,-79,L
2017,Indian Wells,R32,del Potro,19.0%,36.9%,64.5%,29.9%,25.5%,47.1%,71.1%,43.3%,33.3%,54.2%,11.1%,25.9%,54.2%,-25,W
2017,Acapulco,QF,Kyrgios,24.3%,38.6%,68.6%,30.9%,28.3%,45.7%,66.7%,38.3%,42.1%,44.4%,18.2%,27.3%,72.2%,47,L
2017,Acapulco,R16,del Potro,29.0%,38.7%,44.6%,33.7%,37.3%,45.8%,45.9%,44.6%,46.4%,48.4%,15.2%,27.3%,42.9%,-35,W
2017,Australian Open,R64,Istomin,25.9%,37.3%,56.7%,31.4%,35.8%,49.1%,57.4%,45.3%,51.1%,44.3%,14.5%,24.6%,55.9%,25,L
2017,Australian Open,R128,Verdasco,27.7%,38.3%,54.5%,33.3%,35.6%,47.5%,60.5%,44.6%,42.9%,45.2%,15.2%,24.2%,46.4%,7,W
2017,Doha,F,Murray,13.6%,21.8%,63.0%,21.5%,17.7%,29.1%,61.5%,28.7%,50.0%,39.5%,3.6%,3.6%,66.7%,-82,W
2016,Tour Finals,F,Murray,21.3%,24.6%,50.0%,27.9%,27.3%,31.8%,43.8%,36.4%,52.4%,47.8%,5.9%,5.9%,62.5%,-79,L
2016,Tour Finals,SF,Nishikori,31.8%,47.7%,55.2%,42.5%,39.3%,64.3%,70.6%,56.1%,46.2%,46.7%,20.0%,20.0%,33.3%,16,W
2016,Tour Finals,RR,Thiem,26.3%,36.3%,64.4%,31.8%,31.5%,38.9%,59.5%,39.6%,44.0%,55.2%,15.4%,30.8%,72.7%,-79,W
2016,Tour Finals,RR,Goffin,35.1%,36.8%,51.5%,37.0%,45.7%,48.6%,68.4%,48.9%,56.3%,57.9%,22.2%,22.2%,28.6%,82,W
2016,Tour Finals,RR,Raonic,24.4%,33.3%,53.0%,29.1%,29.3%,39.7%,61.0%,36.6%,45.5%,50.0%,16.7%,23.3%,40.0%,16,W
2016,Shanghai,SF,Bautista Agut,23.3%,31.7%,47.7%,29.5%,25.0%,37.5%,50.0%,34.3%,52.9%,47.8%,22.2%,22.2%,42.9%,72,L
2016,US Open,F,Wawrinka,26.8%,34.1%,57.8%,31.6%,39.7%,50.8%,63.2%,49.0%,35.7%,54.3%,15.1%,18.9%,53.3%,29,L
2016,US Open,SF,Monfils,23.6%,38.7%,55.4%,31.5%,25.0%,42.6%,56.9%,37.4%,42.9%,27.5%,25.8%,38.7%,52.2%,113,W
2016,US Open,R128,Janowicz,35.1%,45.6%,52.2%,40.8%,36.6%,46.5%,51.1%,45.8%,52.8%,31.4%,36.8%,50.0%,54.2%,97,W
2016,Rio Olympics,R64,del Potro,22.8%,31.7%,53.9%,29.6%,29.6%,42.3%,52.0%,39.3%,36.4%,44.7%,7.1%,7.1%,57.7%,-45,L
2016,Canada,F,Nishikori,37.9%,43.1%,55.6%,43.6%,40.9%,47.7%,69.2%,48.4%,42.1%,44.0%,28.6%,28.6%,20.0%,-79,W
2016,Canada,SF,Monfils,20.4%,29.6%,68.4%,28.3%,25.7%,40.0%,73.1%,38.0%,66.7%,45.0%,14.3%,14.3%,58.3%,-2,W
2016,Wimbledon,R32,Querrey,16.3%,20.9%,51.9%,20.5%,21.6%,33.3%,52.5%,32.2%,63.2%,40.6%,41.7%,41.7%,50.0%,-19,L
2016,Roland Garros,F,Murray,20.9%,26.4%,54.8%,28.0%,23.4%,31.2%,54.2%,33.5%,41.7%,39.0%,16.7%,16.7%,56.0%,49,W
2016,Roland Garros,SF,Thiem,24.7%,30.1%,62.3%,29.0%,26.5%,34.7%,61.1%,33.1%,47.6%,50.0%,22.7%,22.7%,64.7%,-13,W
2016,Rome,F,Murray,23.2%,26.8%,45.2%,26.1%,28.1%,34.4%,47.8%,33.1%,41.2%,60.0%,17.4%,17.4%,42.1%,-16,L
2016,Rome,SF,Nishikori,27.3%,37.4%,51.4%,36.0%,27.1%,41.4%,58.8%,39.4%,53.6%,45.2%,29.6%,29.6%,31.6%,25,W
2016,Rome,QF,Nadal,17.7%,30.4%,58.7%,27.2%,17.9%,33.9%,56.5%,31.3%,62.5%,43.8%,19.0%,23.8%,64.7%,53,W
2016,Madrid,F,Murray,17.1%,34.1%,63.1%,27.2%,18.6%,40.7%,66.7%,32.7%,35.7%,61.3%,15.0%,20.0%,52.9%,25,W
2016,Madrid,SF,Nishikori,31.6%,44.3%,53.8%,41.1%,39.7%,55.2%,60.0%,52.6%,52.2%,40.0%,10.5%,15.8%,41.2%,-13,W
2016,Madrid,QF,Raonic,23.4%,32.8%,67.4%,30.2%,19.0%,31.0%,67.6%,29.3%,42.1%,47.8%,36.8%,42.1%,66.7%,127,W
2016,Madrid,R32,Coric,22.4%,32.7%,78.8%,27.8%,26.9%,42.3%,78.9%,36.9%,60.0%,50.0%,22.2%,27.8%,78.6%,82,W
2016,Monte Carlo,R32,Vesely,19.6%,26.1%,56.3%,28.8%,24.6%,32.8%,63.0%,38.5%,40.7%,35.3%,10.7%,14.3%,44.0%,-12,L
2016,Miami,F,Nishikori,25.6%,34.9%,66.7%,35.8%,32.1%,46.4%,68.4%,47.9%,45.5%,47.1%,15.4%,15.4%,63.6%,29,W
2016,Miami,SF,Goffin,31.6%,39.5%,54.0%,37.2%,32.6%,43.5%,58.1%,42.0%,64.7%,48.3%,32.1%,35.7%,47.4%,22,W
2016,Indian Wells,F,Raonic,31.7%,46.3%,63.0%,38.0%,39.3%,53.6%,64.7%,48.6%,72.7%,29.4%,16.7%,33.3%,60.0%,37,W
2016,Indian Wells,SF,Nadal,25.0%,35.0%,61.9%,33.2%,23.8%,35.7%,62.5%,35.5%,62.5%,46.2%,33.3%,40.0%,60.0%,173,W
2016,Australian Open,F,Murray,21.6%,29.7%,59.5%,27.9%,28.8%,39.7%,63.5%,38.4%,38.7%,42.9%,8.6%,11.4%,53.1%,-31,W
2016,Australian Open,SF,Federer,36.1%,39.2%,59.0%,37.7%,44.6%,47.7%,58.3%,47.1%,36.0%,30.0%,19.4%,22.6%,60.0%,-32,W
2016,Australian Open,QF,Nishikori,29.2%,39.3%,52.5%,32.6%,33.3%,45.1%,47.1%,39.2%,50.0%,43.5%,25.0%,33.3%,59.3%,1,W
2016,Australian Open,R16,Simon,24.3%,34.5%,52.7%,31.2%,31.5%,46.3%,55.4%,42.8%,47.1%,49.1%,13.6%,16.7%,49.1%,-57,W
2016,Doha,F,Nadal,22.7%,40.9%,72.7%,35.2%,30.3%,45.5%,69.6%,47.0%,40.0%,44.4%,0.0%,30.0%,80.0%,-118,W
2016,Doha,SF,Berdych,26.1%,40.6%,60.0%,34.3%,33.3%,53.3%,66.7%,46.0%,57.9%,53.8%,13.0%,17.4%,50.0%,-16,W
2016,Doha,QF,Mayer,26.3%,43.9%,52.4%,35.4%,28.9%,50.0%,70.4%,42.6%,53.3%,39.1%,21.1%,31.6%,20.0%,-79,W
2016,Doha,R32,Brown,37.5%,42.5%,60.0%,46.0%,36.7%,43.3%,52.6%,48.0%,60.0%,46.7%,40.0%,40.0%,83.3%,-79,W
2015,Tour Finals,F,Federer,30.4%,37.5%,56.4%,34.3%,26.3%,31.6%,50.0%,32.1%,58.8%,42.9%,38.9%,50.0%,72.7%,-79,W
2015,Tour Finals,SF,Nadal,32.6%,43.5%,70.0%,38.0%,50.0%,67.9%,78.6%,58.9%,33.3%,43.8%,5.9%,5.9%,62.5%,-57,W
2015,Tour Finals,RR,Nishikori,48.7%,56.4%,57.9%,54.1%,50.0%,60.7%,64.3%,57.5%,61.5%,53.3%,50.0%,50.0%,40.0%,59,W
2015,Tour Finals,RR,Federer,23.1%,30.8%,42.9%,29.7%,21.3%,31.9%,37.8%,30.4%,29.2%,47.8%,29.4%,29.4%,58.3%,5,L
2015,Tour Finals,RR,Berdych,22.1%,36.8%,52.8%,30.4%,28.9%,48.9%,56.3%,41.6%,47.8%,45.5%,8.7%,13.0%,47.6%,-79,W
2015,Paris,F,Murray,22.9%,31.3%,59.5%,27.1%,23.3%,36.7%,56.5%,30.0%,75.0%,57.1%,22.2%,22.2%,64.3%,-79,W
2015,Paris,SF,Wawrinka,17.9%,28.2%,57.8%,25.6%,25.5%,36.4%,65.9%,36.4%,60.7%,48.1%,0.0%,8.7%,43.5%,-118,W
2015,Paris,QF,Berdych,36.1%,48.2%,60.8%,43.6%,37.5%,53.1%,67.5%,47.2%,50.0%,31.6%,35.3%,35.3%,36.4%,80,W
2015,Paris,R16,Simon,23.5%,35.3%,42.9%,31.3%,24.4%,41.5%,54.8%,37.3%,72.2%,43.5%,25.0%,29.2%,22.2%,89,W
2015,Paris,R32,Bellucci,19.7%,33.3%,63.5%,28.6%,28.9%,47.4%,66.7%,44.5%,55.6%,35.0%,7.4%,14.8%,60.0%,-39,W
2015,Shanghai,F,Tsonga,31.7%,58.5%,75.0%,42.9%,34.5%,62.1%,78.9%,50.3%,41.2%,66.7%,25.0%,50.0%,66.7%,-79,W
2015,Shanghai,SF,Murray,26.3%,31.6%,67.9%,30.5%,28.6%,35.7%,75.0%,34.3%,33.3%,56.3%,20.0%,20.0%,50.0%,-79,W
2015,Shanghai,QF,Tomic,45.6%,52.6%,46.7%,49.5%,55.3%,60.5%,52.9%,61.1%,55.6%,45.0%,27.8%,38.9%,38.5%,1,W
2015,Shanghai,R16,Lopez,35.8%,47.2%,58.8%,40.0%,46.9%,53.1%,58.8%,53.8%,57.9%,61.5%,19.0%,38.1%,58.8%,-79,W
2015,Shanghai,R32,Klizan,26.5%,40.8%,55.6%,32.9%,25.0%,38.9%,44.4%,33.6%,66.7%,72.2%,30.8%,46.2%,88.9%,-79,W
