Match,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%,W_or_L,Rival
2019 Tokyo F,1.68,2.92,26.4,2.2,12.0%,84.0%,13.6%,68.2%,42.3%,39.1%,W,Millman
2019 US Open R32,1.12,1.71,27.7,2.0,4.3%,72.3%,8.7%,73.9%,30.4%,52.3%,W,Kudla
2019 US Open R64,0.95,1.23,40.6,2.7,4.5%,54.5%,13.2%,65.8%,57.7%,47.1%,W,Londero
2019 US Open R128,1.14,2.05,29.2,2.2,5.3%,73.7%,5.7%,80.0%,33.3%,51.2%,W,Carballes Baena
2019 Cincinnati SF,0.72,0.79,50.6,5.7,-,64.1%,-,76.7%,36.6%,30.0%,L,Medvedev
2019 Cincinnati QF,1.1,1.65,31.0,2.2,-,84.6%,-,57.6%,40.6%,43.3%,W,Pouille
2019 Cincinnati R32,0.92,1.29,51.1,3.0,-,68.6%,-,64.3%,37.5%,56.3%,W,Querrey
2019 Wimbledon F,1.11,0.97,74.8,57.0,5.1%,60.7%,3.9%,67.6%,32.4%,30.6%,W,Federer
2019 Wimbledon SF,1.19,1.43,32.0,2.1,3.4%,69.5%,12.5%,66.1%,30.9%,47.1%,W,Bautista Agut
2019 Wimbledon QF,1.18,1.74,28.7,2.8,2.3%,62.8%,5.0%,67.5%,48.7%,54.1%,W,Goffin
2019 Wimbledon R16,1.22,2.64,21.2,2.1,8.3%,77.8%,0.0%,80.0%,47.7%,43.9%,W,Humbert
2019 Wimbledon R32,0.99,1.3,44.0,2.3,5.6%,69.0%,8.2%,73.8%,41.7%,33.3%,W,Hurkacz
2019 Wimbledon R64,1.24,2.33,18.4,2.0,23.7%,78.9%,11.4%,62.9%,60.0%,47.2%,W,Kudla
2019 Wimbledon R128,0.93,1.67,32.8,2.4,15.0%,72.5%,16.7%,77.8%,36.5%,54.2%,W,Kohlschreiber
2019 Roland Garros SF,1.06,0.95,66.5,2.5,1.1%,64.1%,5.9%,52.9%,44.2%,29.2%,L,Thiem
2019 Roland Garros QF,1.11,1.61,33.8,3.0,0.0%,68.9%,2.4%,70.7%,40.0%,48.7%,W,Zverev
2019 Roland Garros R16,1.31,2.77,20.8,2.2,8.1%,83.8%,9.4%,75.0%,38.9%,47.1%,W,Struff
2019 Roland Garros R32,1.0,1.85,30.5,2.0,15.8%,71.1%,5.4%,78.4%,50.0%,43.2%,W,Caruso
2019 Roland Garros R64,1.15,1.91,26.1,2.0,11.4%,74.3%,0.0%,71.0%,35.7%,55.0%,W,Laaksonen
2019 Roland Garros R128,1.28,3.02,19.0,2.0,11.8%,76.5%,6.9%,82.8%,60.0%,35.3%,W,Hurkacz
2019 Rome F,1.14,0.72,52.0,2.1,10.4%,45.8%,4.2%,58.3%,28.6%,32.3%,L,Nadal
2019 Rome SF,1.17,1.23,61.2,2.1,0.0%,62.7%,4.2%,70.8%,35.7%,34.2%,W,Schwartzman
2019 Rome QF,1.06,1.21,70.8,17.2,5.7%,67.9%,6.5%,69.6%,42.4%,29.1%,W,del Potro
2019 Madrid F,1.29,1.84,40.3,2.1,-,71.0%,-,71.4%,41.4%,40.7%,W,Tsitsipas
2019 Madrid SF,1.0,1.04,61.2,4.0,-,61.5%,-,57.5%,37.2%,46.5%,W,Thiem
2019 Madrid R16,1.14,1.74,45.9,2.0,3.1%,78.1%,10.0%,73.3%,29.0%,46.2%,W,Chardy
2019 Madrid R32,1.03,2.47,36.7,2.2,12.5%,79.2%,18.2%,86.4%,34.4%,50.0%,W,Fritz
2019 Monte Carlo QF,0.92,0.74,46.7,2.5,2.1%,62.5%,7.0%,51.2%,25.6%,43.6%,L,Medvedev
2019 Monte Carlo R16,1.12,1.75,38.9,2.2,4.3%,73.9%,9.5%,52.4%,62.5%,51.6%,W,Fritz
2019 Monte Carlo R32,1.16,1.25,71.8,2.5,0.0%,63.3%,1.7%,53.4%,50.0%,39.5%,W,Kohlschreiber
2019 Miami R16,0.79,0.79,59.5,8.3,4.3%,56.5%,7.3%,58.5%,30.6%,55.6%,L,Bautista Agut
2019 Miami R32,1.01,1.38,49.8,2.4,0.0%,68.3%,5.6%,69.4%,40.9%,45.0%,W,Delbonis
2019 Miami R64,1.1,1.73,46.0,3.1,22.6%,80.6%,14.8%,66.7%,42.4%,38.7%,W,Tomic
2019 Indian Wells R32,0.74,0.64,42.7,2.5,3.4%,55.2%,3.7%,63.0%,34.3%,37.5%,L,Kohlschreiber
2019 Indian Wells R64,0.87,1.54,48.6,3.4,3.1%,75.0%,3.4%,72.4%,42.9%,50.0%,W,Fratangelo
2019 Australian Open F,1.04,2.49,24.4,2.0,13.9%,83.3%,3.0%,78.8%,38.5%,52.9%,W,Nadal
2019 Australian Open SF,1.03,3.49,21.1,2.1,11.1%,81.5%,7.7%,88.5%,47.4%,55.6%,W,Pouille
2019 Australian Open R16,1.01,1.22,43.8,2.7,3.1%,63.1%,1.6%,67.2%,40.5%,44.1%,W,Medvedev
2019 Australian Open R32,1.05,1.62,25.5,2.1,8.3%,72.9%,2.4%,66.7%,48.3%,44.0%,W,Shapovalov
2019 Australian Open R64,1.14,1.66,30.8,2.0,4.3%,78.3%,14.6%,65.9%,33.3%,47.7%,W,Tsonga
2019 Australian Open R128,0.8,1.84,29.8,2.5,5.6%,80.6%,6.9%,75.9%,56.7%,42.1%,W,Krueger
2019 Doha SF,0.91,0.75,64.2,11.9,8.5%,66.1%,7.3%,65.5%,25.0%,32.5%,L,Bautista Agut
2019 Doha QF,1.21,1.31,53.0,4.0,4.4%,62.2%,12.2%,68.3%,34.1%,42.1%,W,Basilashvili
2019 Doha R16,1.0,1.38,52.9,5.4,2.5%,72.5%,8.6%,65.7%,39.5%,45.2%,W,Fucsovics
2019 Doha R32,1.05,2.4,33.7,2.0,13.0%,78.3%,0.0%,73.7%,48.0%,60.9%,W,Dzumhur
2018 Tour Finals F,0.84,0.56,43.0,2.3,0.0%,60.0%,3.7%,55.6%,23.1%,35.0%,L,Zverev
2018 Tour Finals SF,1.01,2.83,31.0,2.1,19.0%,85.7%,5.6%,77.8%,61.3%,37.9%,W,Anderson
2018 Tour Finals RR,0.94,2.78,39.5,2.1,0.0%,90.9%,0.0%,81.0%,38.2%,45.2%,W,Isner
2018 Tour Finals RR,1.01,1.73,53.8,2.4,3.6%,71.4%,0.0%,75.0%,40.7%,52.2%,W,Zverev
2018 Tour Finals RR,1.28,4.78,61.5,2.5,7.1%,85.7%,4.0%,96.0%,35.0%,35.1%,W,Cilic
2018 Paris F,0.87,0.69,50.2,3.2,0.0%,67.6%,11.8%,55.9%,22.9%,38.7%,L,Khachanov
2018 Paris SF,1.09,1.37,77.6,2.8,8.3%,71.7%,5.7%,77.4%,33.3%,31.3%,W,Federer
2018 Paris QF,1.05,1.26,66.6,4.4,6.7%,66.7%,5.0%,65.0%,51.2%,30.0%,W,Cilic
2018 Paris R32,1.22,1.53,41.8,2.4,5.6%,55.6%,8.3%,72.2%,27.6%,65.4%,W,Sousa
2018 Shanghai F,0.99,2.31,37.6,2.0,18.5%,85.2%,8.0%,80.0%,38.9%,41.7%,W,Coric
2018 Shanghai SF,1.41,2.65,32.8,2.3,0.0%,66.7%,0.0%,77.3%,55.0%,50.0%,W,Zverev
2018 Shanghai QF,1.05,1.8,45.3,2.7,17.1%,85.7%,6.7%,70.0%,28.9%,45.7%,W,Anderson
2018 Shanghai R16,0.85,2.27,46.6,2.5,21.7%,82.6%,10.5%,78.9%,59.4%,41.9%,W,Cecchinato
2018 Shanghai R32,1.31,2.13,45.1,2.2,10.7%,75.0%,0.0%,76.0%,41.7%,37.9%,W,Chardy
2018 US Open F,1.2,1.32,39.1,2.2,1.6%,65.6%,0.0%,63.2%,41.7%,36.6%,W,del Potro
2018 US Open SF,1.1,2.08,26.9,2.0,2.4%,78.6%,5.6%,75.0%,46.2%,40.8%,W,Nishikori
2018 US Open QF,1.08,1.58,32.4,2.0,0.0%,72.3%,2.6%,69.2%,43.1%,42.1%,W,Millman
2018 US Open R16,1.21,1.8,28.4,2.1,15.4%,71.8%,8.3%,69.4%,41.9%,45.9%,W,Sousa
2018 US Open R32,1.08,1.77,25.9,2.2,2.4%,66.7%,4.9%,75.6%,44.9%,50.0%,W,Gasquet
2018 US Open R64,1.08,1.43,31.4,2.2,8.5%,72.9%,1.8%,60.0%,39.4%,49.2%,W,Sandgren
2018 US Open R128,1.05,1.37,36.7,3.3,1.8%,67.3%,6.0%,66.0%,45.5%,41.2%,W,Fucsovics
2018 Cincinnati F,1.07,1.68,45.2,2.2,10.7%,82.1%,4.0%,64.0%,38.5%,44.7%,W,Federer
2018 Cincinnati SF,1.21,1.22,59.3,2.2,14.0%,70.0%,2.2%,52.2%,39.6%,38.1%,W,Cilic
2018 Cincinnati QF,1.04,1.18,71.5,4.7,4.0%,68.0%,4.5%,63.6%,32.1%,45.3%,W,Raonic
2018 Cincinnati R16,1.21,1.27,55.7,11.7,6.7%,68.9%,2.4%,58.5%,39.5%,35.9%,W,Dimitrov
2018 Cincinnati R32,1.09,1.33,50.4,4.0,8.5%,59.6%,2.2%,63.0%,45.0%,50.0%,W,Mannarino
2018 Cincinnati R64,0.96,1.24,67.4,2.4,12.8%,74.4%,6.1%,51.5%,56.3%,35.6%,W,Johnson
2018 Canada R16,0.97,0.69,58.4,2.3,13.7%,72.5%,8.7%,63.0%,22.4%,23.3%,L,Tsitsipas
2018 Canada R32,1.15,1.72,51.2,2.2,9.7%,80.6%,15.4%,65.4%,31.0%,48.1%,W,Polansky
2018 Canada R64,0.93,1.52,53.3,2.2,15.2%,72.7%,13.3%,70.0%,52.8%,39.4%,W,Basic
2018 Wimbledon F,1.31,1.9,24.2,2.0,2.0%,73.5%,11.1%,73.3%,26.7%,54.3%,W,Anderson
2018 Wimbledon SF,1.02,1.14,77.1,4.0,18.9%,70.5%,4.9%,64.2%,44.4%,27.5%,W,Nadal
2018 Wimbledon QF,0.9,1.4,37.3,2.6,6.4%,66.0%,6.8%,75.0%,37.7%,55.4%,W,Nishikori
2018 Wimbledon R16,0.99,1.83,26.4,2.4,2.9%,71.4%,3.3%,73.3%,53.5%,48.8%,W,Khachanov
2018 Wimbledon R32,0.92,1.5,43.8,3.4,16.4%,74.5%,16.3%,75.5%,42.9%,38.5%,W,Edmund
2018 Wimbledon R64,1.24,3.11,17.9,2.0,34.4%,81.3%,13.8%,79.3%,52.4%,46.2%,W,Zeballos
2018 Wimbledon R128,1.06,2.62,21.9,2.2,0.0%,77.4%,0.0%,80.8%,46.8%,57.4%,W,Sandgren
2018 Queen's Club F,0.87,0.84,71.2,12.6,10.5%,70.2%,11.5%,69.2%,26.7%,32.1%,L,Cilic
2018 Queen's Club SF,1.07,2.1,54.8,2.2,3.1%,84.4%,11.1%,81.5%,36.8%,29.7%,W,Chardy
2018 Queen's Club QF,0.94,1.63,47.9,3.4,10.3%,75.9%,7.7%,69.2%,48.5%,46.7%,W,Mannarino
2018 Queen's Club R16,1.3,2.46,39.4,2.2,0.0%,82.1%,12.5%,70.8%,40.0%,47.8%,W,Dimitrov
2018 Queen's Club R32,0.9,2.64,35.1,2.5,11.1%,77.8%,12.5%,87.5%,48.6%,54.5%,W,Millman
2018 Roland Garros QF,0.81,0.88,51.3,2.0,3.0%,68.2%,4.9%,55.7%,42.9%,39.7%,L,Cecchinato
2018 Roland Garros R16,1.23,1.54,28.2,2.2,4.1%,61.2%,2.1%,68.1%,39.2%,50.0%,W,Verdasco
2018 Roland Garros R32,0.95,1.17,49.7,3.4,7.5%,67.2%,8.2%,60.7%,41.3%,47.2%,W,Bautista Agut
2018 Roland Garros R64,1.19,1.56,32.5,2.5,1.9%,67.3%,4.3%,68.1%,40.0%,45.5%,W,Munar
2018 Roland Garros R128,1.0,1.48,33.3,2.6,11.1%,66.7%,0.0%,67.5%,50.0%,46.9%,W,Dutra Silva
2018 Rome SF,0.82,0.7,51.9,2.3,9.1%,54.5%,3.3%,66.7%,31.4%,36.7%,L,Nadal
2018 Rome QF,1.01,1.22,68.7,5.0,4.3%,61.7%,4.3%,54.3%,53.3%,47.5%,W,Nishikori
2018 Rome R16,1.11,1.63,42.2,2.1,0.0%,67.7%,3.6%,67.9%,63.3%,29.6%,W,Ramos
2018 Rome R32,1.09,1.65,46.4,2.3,9.4%,68.8%,6.5%,74.2%,37.0%,50.0%,W,Basilashvili
2018 Rome R64,1.22,2.61,30.7,2.0,21.7%,82.6%,4.5%,68.2%,54.2%,50.0%,W,Dolgopolov
2018 Madrid R32,0.74,0.73,49.8,3.6,2.9%,57.1%,3.1%,68.8%,39.5%,33.3%,L,Edmund
2018 Madrid R64,1.17,1.32,58.3,2.8,7.9%,65.8%,5.7%,60.0%,39.5%,43.9%,W,Nishikori
2018 Barcelona R32,0.64,0.7,45.6,2.0,11.8%,64.7%,3.7%,70.4%,41.7%,29.0%,L,Klizan
2018 Monte Carlo R16,0.97,0.83,59.4,5.8,3.4%,72.4%,1.8%,42.9%,30.0%,42.2%,L,Thiem
2018 Monte Carlo R32,1.14,1.35,52.2,2.7,6.3%,75.0%,4.5%,50.0%,43.9%,43.6%,W,Coric
2018 Monte Carlo R64,0.97,2.25,36.0,2.0,4.2%,54.2%,0.0%,90.5%,78.9%,52.9%,W,Lajovic
2018 Miami R64,0.9,0.6,46.1,2.4,0.0%,55.2%,7.7%,57.7%,33.3%,23.8%,L,Paire
2018 Indian Wells R64,0.84,0.83,61.7,3.7,8.3%,64.6%,0.0%,56.5%,40.7%,37.7%,L,Daniel
2018 Australian Open R16,0.85,0.79,37.6,2.2,0.0%,55.1%,1.6%,55.7%,42.3%,40.0%,L,Chung
2018 Australian Open R32,1.13,1.59,30.3,2.2,4.4%,68.9%,0.0%,69.0%,34.0%,54.3%,W,Ramos
2018 Australian Open R64,0.99,1.28,45.0,3.5,1.6%,59.0%,0.0%,67.9%,45.0%,50.0%,W,Monfils
2018 Australian Open R128,1.41,2.88,23.1,2.0,5.7%,68.6%,6.5%,83.9%,63.5%,35.3%,W,Young
2017 Wimbledon R16,1.09,1.53,30.3,2.1,4.2%,68.8%,4.4%,71.1%,42.6%,41.7%,W,Mannarino
2017 Wimbledon R32,1.12,1.75,27.2,2.7,6.3%,75.0%,7.3%,70.7%,43.6%,40.4%,W,Gulbis
2017 Wimbledon R64,1.0,2.36,24.2,2.0,6.3%,78.1%,7.1%,78.6%,51.2%,51.2%,W,Pavlasek
2017 Eastbourne F,1.23,1.63,43.0,2.1,3.3%,56.7%,0.0%,82.1%,32.4%,51.7%,W,Monfils
2017 Eastbourne SF,1.37,1.63,46.4,2.6,5.9%,61.8%,6.7%,73.3%,34.4%,44.4%,W,Medvedev
2017 Eastbourne QF,0.93,1.37,72.5,2.0,16.7%,83.3%,3.2%,58.1%,42.5%,41.7%,W,Young
2017 Eastbourne R16,1.23,1.49,53.0,2.3,5.9%,73.5%,9.4%,62.5%,40.0%,37.0%,W,Pospisil
2017 Roland Garros QF,1.08,0.75,39.6,2.8,1.9%,53.7%,1.9%,48.1%,34.1%,34.2%,L,Thiem
2017 Roland Garros R16,1.04,1.38,35.2,2.8,3.8%,73.1%,2.1%,51.1%,43.1%,56.3%,W,Ramos
2017 Roland Garros R32,0.8,1.3,43.2,4.1,6.6%,77.0%,5.7%,64.2%,45.6%,48.6%,W,Schwartzman
2017 Roland Garros R64,1.15,1.68,28.5,2.1,0.0%,71.7%,2.4%,61.9%,47.7%,48.7%,W,Sousa
2017 Roland Garros R128,1.16,1.56,25.9,2.0,4.4%,60.0%,7.0%,62.8%,44.2%,60.0%,W,Granollers
2017 Rome F,0.81,0.39,31.3,2.0,2.9%,62.9%,0.0%,53.1%,19.2%,21.1%,L,Zverev
2017 Rome SF,1.22,2.83,28.6,2.1,0.0%,69.6%,10.0%,75.0%,70.0%,58.8%,W,Thiem
2017 Rome QF,1.46,1.84,42.5,2.7,3.2%,71.0%,10.0%,60.0%,37.5%,50.0%,W,del Potro
2017 Rome R16,1.12,1.45,52.5,2.2,18.2%,63.6%,0.0%,69.0%,63.6%,22.6%,W,Bautista Agut
2017 Rome R32,1.15,1.56,44.2,2.6,5.6%,83.3%,6.3%,53.1%,45.9%,37.8%,W,Bedene
2017 Madrid SF,0.79,0.55,37.2,2.0,3.4%,44.8%,11.1%,59.3%,34.5%,32.1%,L,Nadal
2017 Madrid R16,1.53,1.57,45.9,2.0,5.9%,79.4%,12.9%,67.7%,30.0%,23.1%,W,Lopez
2017 Madrid R32,0.95,1.23,69.3,6.8,6.7%,68.9%,10.0%,65.0%,29.2%,56.5%,W,Almagro
2017 Monte Carlo QF,0.92,0.9,82.2,9.6,3.4%,60.3%,3.8%,57.7%,33.3%,46.9%,L,Goffin
2017 Monte Carlo R16,0.97,1.17,72.3,4.0,2.1%,64.6%,2.1%,56.3%,52.0%,43.5%,W,Carreno Busta
2017 Monte Carlo R32,0.99,1.16,80.0,9.7,0.0%,55.6%,5.3%,68.4%,50.0%,39.5%,W,Simon
2017 Davis Cup RR,1.2,2.16,25.0,2.1,9.8%,82.9%,5.1%,71.8%,45.9%,35.1%,W,Ramos
2017 Indian Wells R16,0.87,0.68,50.6,2.0,0.0%,61.9%,7.5%,67.5%,31.4%,23.5%,L,Kyrgios
2017 Indian Wells R32,0.97,1.32,51.0,3.1,6.5%,69.6%,2.4%,65.9%,44.7%,43.2%,W,del Potro
2017 Indian Wells R64,1.26,1.33,51.3,2.1,2.6%,64.1%,5.3%,60.5%,35.0%,44.7%,W,Edmund
2017 Acapulco QF,0.81,0.65,65.1,2.5,0.0%,73.7%,6.3%,75.0%,18.9%,22.2%,L,Kyrgios
2017 Acapulco R16,1.11,1.19,70.5,6.0,6.3%,64.6%,8.9%,55.6%,48.9%,35.0%,W,del Potro
2017 Acapulco R32,1.04,1.38,57.0,2.4,2.7%,67.6%,5.4%,70.3%,45.5%,35.7%,W,Klizan
2017 Australian Open R64,0.87,0.93,55.9,5.0,5.1%,68.7%,5.8%,60.5%,38.2%,37.0%,L,Istomin
2017 Australian Open R128,0.93,1.36,36.7,2.0,2.1%,70.8%,2.2%,60.9%,49.1%,51.0%,W,Verdasco
2017 Doha F,1.17,1.2,65.2,3.4,1.8%,75.0%,1.9%,57.4%,28.9%,41.0%,W,Murray
2017 Doha SF,1.05,1.2,64.9,73.6,4.2%,66.7%,2.2%,62.2%,43.4%,37.5%,W,Verdasco
2017 Doha QF,1.16,1.77,37.5,2.0,6.7%,70.0%,3.8%,65.4%,40.6%,58.6%,W,Stepanek
2017 Doha R16,1.11,2.9,34.1,2.1,7.4%,81.5%,10.0%,90.0%,44.4%,33.3%,W,Zeballos
2017 Doha R32,1.09,1.71,36.3,3.9,10.3%,69.0%,3.8%,73.1%,47.5%,44.1%,W,Struff
2016 Tour Finals F,0.76,0.62,44.3,2.1,0.0%,62.5%,3.4%,58.6%,28.1%,37.0%,L,Murray
2016 Tour Finals SF,1.13,2.14,27.0,2.0,0.0%,62.5%,15.0%,75.0%,57.1%,63.0%,W,Nishikori
2016 Tour Finals RR,1.26,1.24,71.3,2.7,2.1%,59.6%,2.3%,67.4%,28.6%,44.4%,W,Raonic
2016 Tour Finals RR,0.82,1.36,65.1,4.0,-,61.9%,-,86.8%,29.2%,58.7%,W,Thiem
2016 Tour Finals RR,1.33,2.01,32.6,2.2,6.9%,69.0%,3.6%,60.7%,48.0%,59.1%,W,Goffin
2016 Paris QF,0.87,0.77,59.3,2.3,5.4%,62.2%,2.9%,58.8%,31.6%,39.4%,L,Cilic
2016 Paris R16,1.09,1.3,50.9,4.1,-,63.3%,-,64.4%,34.7%,52.2%,W,Dimitrov
2016 Paris R32,1.08,1.88,46.0,2.1,10.3%,72.4%,0.0%,84.6%,34.4%,41.9%,W,Muller
2016 Shanghai SF,0.75,0.75,64.4,2.4,9.7%,64.5%,3.4%,51.7%,40.9%,42.9%,L,Bautista Agut
2016 Shanghai QF,1.18,1.2,55.5,9.8,3.7%,70.4%,2.0%,55.1%,36.2%,39.0%,W,Zverev
2016 Shanghai R16,1.27,1.86,38.5,2.0,3.6%,67.9%,4.0%,76.0%,39.4%,43.8%,W,Pospisil
2016 Shanghai R32,1.04,1.64,44.4,2.1,13.3%,80.0%,0.0%,53.8%,36.7%,65.5%,W,Fognini
2016 US Open F,0.77,0.85,41.9,3.4,4.8%,66.7%,3.3%,65.0%,39.3%,36.3%,L,Wawrinka
2016 US Open SF,1.04,1.37,30.4,2.1,1.8%,58.2%,2.0%,66.7%,46.6%,52.8%,W,Monfils
2016 US Open QF,0.98,1.68,45.1,2.3,0.0%,69.2%,4.2%,75.0%,41.9%,55.6%,W,Tsonga
2016 US Open R16,1.07,1.61,26.1,2.1,2.3%,69.8%,2.6%,56.4%,58.7%,51.2%,W,Edmund
2016 US Open R128,0.96,1.35,37.5,2.2,5.1%,67.8%,0.0%,65.5%,45.2%,49.1%,W,Janowicz
2016 Rio Olympics R64,0.96,0.58,56.4,2.5,-,59.6%,-,67.3%,17.5%,28.1%,L,del Potro
2016 Canada F,1.18,1.74,41.6,2.0,9.7%,67.7%,7.4%,77.8%,40.6%,40.7%,W,Nishikori
2016 Canada SF,1.22,2.02,37.9,2.8,3.6%,64.3%,0.0%,73.1%,44.0%,60.9%,W,Monfils
2016 Canada QF,1.26,1.31,58.7,3.7,2.2%,66.7%,2.4%,61.0%,37.8%,37.1%,W,Berdych
2016 Canada R16,0.89,1.73,45.5,2.1,3.8%,73.1%,8.3%,79.2%,51.4%,41.2%,W,Stepanek
2016 Canada R32,0.94,1.44,60.6,2.4,5.7%,65.7%,3.2%,80.6%,42.5%,40.5%,W,Muller
2016 Wimbledon R32,0.95,0.87,52.9,2.3,5.3%,61.3%,2.8%,62.0%,43.2%,26.6%,L,Querrey
2016 Wimbledon R64,1.21,1.49,33.4,2.2,7.4%,70.4%,6.1%,71.4%,40.8%,30.4%,W,Mannarino
2016 Wimbledon R128,0.98,1.56,34.0,2.0,8.3%,60.4%,4.9%,85.4%,39.6%,50.0%,W,Ward
2016 Roland Garros F,1.09,1.42,29.8,3.6,3.4%,63.8%,3.8%,61.5%,44.6%,52.8%,W,Murray
2016 Roland Garros SF,1.13,1.93,24.5,2.0,2.6%,66.7%,2.9%,76.5%,41.9%,57.5%,W,Thiem
2016 Roland Garros QF,1.19,1.76,27.4,2.1,0.0%,69.8%,0.0%,68.4%,42.2%,50.0%,W,Berdych
2016 Roland Garros R16,0.91,1.13,52.0,3.2,0.0%,58.3%,1.8%,62.5%,50.7%,47.8%,W,Bautista Agut
2016 Roland Garros R32,1.17,1.72,24.8,2.0,6.3%,70.8%,2.3%,59.1%,53.1%,48.8%,W,Bedene
2016 Roland Garros R64,1.21,1.43,32.7,2.3,5.5%,67.3%,2.0%,60.0%,39.2%,46.8%,W,Darcis
2016 Roland Garros R128,0.87,1.86,26.5,2.2,0.0%,72.7%,3.2%,77.4%,50.0%,57.5%,W,Lu
2016 Rome F,0.85,0.6,43.4,2.0,13.3%,56.7%,3.8%,57.7%,33.3%,27.6%,L,Murray
2016 Rome SF,1.04,1.13,85.3,5.1,5.8%,59.6%,4.3%,68.1%,41.3%,37.7%,W,Nishikori
2016 Rome QF,1.13,1.25,59.3,3.4,4.8%,64.3%,2.7%,64.9%,37.5%,40.9%,W,Nadal
2016 Rome R16,1.5,1.53,39.5,4.1,0.0%,67.6%,0.0%,55.9%,40.6%,37.0%,W,Bellucci
2016 Rome R32,1.17,1.49,49.1,2.2,0.0%,70.3%,2.9%,71.4%,40.0%,34.4%,W,Robert
2016 Madrid F,1.09,1.41,62.9,2.1,4.7%,65.1%,0.0%,69.2%,37.5%,48.6%,W,Murray
2016 Madrid SF,1.08,1.31,59.4,2.4,5.0%,65.0%,5.1%,69.2%,42.9%,36.8%,W,Nishikori
2016 Madrid QF,1.12,1.61,42.6,2.0,0.0%,77.1%,0.0%,65.5%,50.0%,30.3%,W,Raonic
2016 Madrid R16,1.14,2.28,37.4,2.3,0.0%,82.6%,0.0%,60.0%,61.5%,50.0%,W,Bautista Agut
2016 Madrid R32,1.1,2.15,41.5,2.1,3.7%,81.5%,4.5%,72.7%,42.3%,45.8%,W,Coric
2016 Monte Carlo R32,0.87,0.8,59.9,2.2,2.1%,60.4%,4.5%,65.9%,40.0%,27.8%,L,Vesely
2016 Miami F,0.91,1.69,40.2,2.6,0.0%,78.3%,0.0%,65.0%,44.1%,59.4%,W,Nishikori
2016 Miami SF,1.12,1.3,60.4,3.0,10.0%,62.5%,8.3%,72.2%,27.9%,50.0%,W,Goffin
2016 Miami QF,1.09,1.64,40.4,2.2,3.2%,71.0%,3.3%,63.3%,54.5%,43.8%,W,Berdych
2016 Miami R16,1.45,1.45,56.7,2.0,2.0%,52.9%,2.0%,62.7%,45.2%,39.3%,W,Thiem
2016 Miami R32,0.79,1.43,56.1,2.3,21.4%,67.9%,8.3%,70.8%,55.9%,54.8%,W,Sousa
2016 Miami R64,1.24,2.12,37.0,2.1,7.7%,73.1%,4.8%,71.4%,54.1%,40.0%,W,Edmund
2016 Indian Wells F,1.13,2.38,26.0,2.1,4.5%,77.3%,5.3%,68.4%,56.7%,56.7%,W,Raonic
2016 Indian Wells SF,0.94,1.35,58.5,2.9,0.0%,71.9%,7.1%,64.3%,40.4%,50.0%,W,Nadal
2016 Indian Wells QF,0.98,1.33,58.7,2.8,0.0%,68.3%,5.3%,68.4%,46.8%,38.6%,W,Tsonga
2016 Indian Wells R16,1.55,2.36,32.2,2.1,3.8%,76.9%,9.1%,72.7%,35.7%,40.7%,W,Lopez
2016 Indian Wells R32,1.18,1.38,51.1,2.2,0.0%,64.3%,2.6%,64.1%,40.0%,43.8%,W,Kohlschreiber
2016 Indian Wells R64,0.84,1.22,61.1,4.0,13.2%,68.4%,9.1%,63.6%,47.7%,51.2%,W,Fratangelo
2016 Davis Cup RR,1.02,1.96,27.6,2.1,0.0%,74.3%,12.5%,75.0%,48.9%,48.9%,W,Nedovyesov
2016 Dubai R16,0.99,2.77,38.4,2.1,4.5%,77.3%,15.0%,85.0%,56.3%,50.0%,W,Jaziri
2016 Dubai R32,1.01,2.83,35.7,2.0,4.8%,90.5%,22.2%,72.2%,52.9%,47.1%,W,Robredo
2016 Australian Open F,1.04,1.38,35.1,2.2,8.8%,71.9%,3.7%,61.1%,44.1%,44.2%,W,Murray
2016 Australian Open SF,1.04,1.71,27.8,2.0,7.8%,72.5%,10.9%,73.9%,44.2%,43.8%,W,Federer
2016 Australian Open QF,1.2,1.68,26.7,2.1,6.5%,63.0%,4.7%,67.4%,52.3%,45.0%,W,Nishikori
2016 Australian Open R16,0.98,1.16,53.2,2.2,6.5%,69.6%,3.5%,58.8%,46.4%,37.9%,W,Simon
2016 Australian Open R32,1.15,1.53,33.7,2.0,15.1%,69.8%,2.0%,74.0%,36.0%,39.1%,W,Seppi
2016 Australian Open R64,1.03,2.41,26.6,2.1,15.4%,82.1%,9.1%,78.8%,40.8%,51.2%,W,Halys
2016 Australian Open R128,1.18,2.44,20.1,2.2,15.8%,78.9%,10.0%,76.7%,38.8%,53.7%,W,Chung
2016 Doha F,1.17,2.76,29.9,2.2,0.0%,76.0%,15.8%,78.9%,50.0%,57.1%,W,Nadal
2016 Doha SF,1.13,1.47,52.0,3.4,2.8%,63.9%,9.1%,75.8%,36.1%,43.8%,W,Berdych
2016 Doha QF,1.0,1.44,46.0,2.9,3.3%,63.3%,3.7%,66.7%,55.9%,45.2%,W,Mayer
2016 Doha R16,1.03,1.95,39.4,2.2,0.0%,77.8%,4.2%,66.7%,64.3%,37.5%,W,Verdasco
2016 Doha R32,1.19,2.51,33.8,2.1,9.5%,76.2%,0.0%,73.7%,53.6%,51.9%,W,Brown
