Date,Tournament,Rd,Rival,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%.1,RiP W%.1,SvImpact.1,D Wide%,A Wide%,2nd: Unret%,<=3 W%.2,RiP W%.2,2ndAgg,W_or_L
2022,Miami,R16,Kyrgios,25.7%,32.9%,63.8%,30.1%,31.1%,42.2%,74.2%,38.0%,35.0%,48.0%,20.0%,20.0%,43.8%,65,W
2022,Miami,R32,Carreno Busta,26.4%,36.4%,46.1%,30.5%,34.1%,44.7%,50.0%,40.8%,51.2%,70.5%,14.8%,24.1%,41.3%,-52,W
2022,Miami,R64,Ruusuvuori,28.7%,37.6%,50.7%,34.6%,37.5%,48.4%,65.0%,46.7%,37.0%,59.5%,14.7%,20.6%,31.0%,31,W
2022,Dubai,QF,Hurkacz,18.3%,30.0%,50.0%,28.2%,21.4%,38.1%,63.6%,35.5%,57.1%,61.9%,11.8%,11.8%,20.0%,4,L
2022,Australian Open,QF,Tsitsipas,24.2%,37.9%,55.1%,28.2%,38.1%,47.6%,53.8%,44.3%,31.8%,20.0%,0.0%,21.7%,56.5%,-118,L
2022,Australian Open,R64,Johnson,38.0%,45.1%,66.7%,41.8%,46.7%,53.3%,66.7%,52.7%,28.6%,25.0%,25.0%,33.3%,66.7%,37,W
2022,Atp Cup,RR,Safiullin,32.2%,38.9%,45.8%,33.9%,41.8%,47.3%,50.0%,44.5%,45.8%,64.5%,18.2%,27.3%,40.7%,7,W
2021,Davis Cup,RR,Galan,25.5%,33.3%,52.6%,28.4%,40.0%,52.0%,53.3%,46.0%,53.3%,30.0%,11.5%,15.4%,52.2%,-79,W
2021,Tour Finals,RR,Hurkacz,30.4%,37.7%,47.9%,35.8%,43.6%,56.4%,54.5%,53.1%,45.0%,68.4%,13.3%,13.3%,42.3%,-79,W
2021,Tour Finals,RR,Medvedev,20.2%,31.7%,55.6%,30.8%,22.2%,38.1%,63.3%,39.7%,46.9%,58.1%,17.9%,23.1%,43.8%,-5,L
2021,Paris,R32,Alcaraz,25.9%,37.6%,47.5%,31.4%,31.5%,44.4%,43.2%,40.2%,57.1%,54.5%,17.2%,27.6%,54.2%,19,L
2021,Vienna,SF,Tiafoe,31.8%,41.2%,41.8%,37.2%,35.2%,50.0%,51.4%,43.7%,61.5%,64.3%,28.6%,28.6%,25.0%,67,L
2021,Vienna,QF,Ruud,32.3%,40.3%,47.6%,40.2%,38.1%,50.0%,61.5%,49.8%,52.9%,40.0%,20.0%,20.0%,25.0%,-79,W
2021,Vienna,R32,Opelka,31.0%,38.1%,82.1%,40.2%,31.0%,41.4%,90.0%,44.5%,35.7%,60.0%,33.3%,33.3%,62.5%,37,W
2021,Antwerp,F,Schwartzman,34.1%,40.9%,70.4%,38.9%,56.5%,69.6%,80.0%,65.7%,58.3%,36.4%,10.5%,10.5%,64.7%,-13,W
2021,Antwerp,QF,Rinderknech,15.6%,24.4%,75.7%,25.6%,20.7%,31.0%,78.3%,36.2%,58.8%,58.3%,6.7%,13.3%,71.4%,-49,W
2021,Sofia,F,Monfils,25.9%,35.2%,71.8%,31.7%,35.7%,53.6%,88.9%,46.8%,56.3%,58.3%,16.0%,16.0%,57.1%,-21,W
2021,US Open,R16,Zverev,30.2%,37.7%,50.0%,35.2%,42.2%,53.1%,54.1%,50.5%,59.3%,45.9%,12.5%,15.0%,45.7%,-7,L
2021,US Open,R32,Monfils,23.5%,33.1%,53.3%,28.8%,35.1%,50.0%,50.8%,44.5%,37.2%,41.2%,9.0%,11.9%,55.7%,-26,W
2021,Washington,F,Mcdonald,24.3%,39.3%,50.0%,31.1%,29.6%,50.0%,60.5%,43.1%,45.8%,60.0%,19.2%,28.8%,40.5%,-51,W
2021,Washington,SF,Brooksby,40.4%,45.6%,63.6%,44.2%,56.7%,63.3%,61.5%,64.0%,44.4%,47.6%,23.1%,26.9%,65.0%,-23,W
2021,Washington,QF,Johnson,41.2%,56.9%,62.1%,49.6%,58.6%,75.9%,83.3%,73.4%,26.7%,35.7%,19.0%,33.3%,47.1%,-10,W
2021,Washington,R16,Korda,27.7%,34.9%,54.5%,32.2%,32.6%,44.2%,58.6%,41.2%,55.0%,56.5%,25.7%,28.6%,50.0%,110,W
2021,Washington,R32,Ruusuvuori,30.6%,36.7%,64.7%,32.7%,50.0%,60.0%,70.0%,55.0%,30.0%,60.0%,17.2%,20.7%,62.5%,-79,W
2021,Roland Garros,R16,Nadal,9.2%,17.1%,36.9%,14.9%,7.8%,17.6%,36.2%,16.3%,52.2%,39.3%,14.3%,19.0%,38.9%,14,L
2021,Roland Garros,R128,Herbert,33.8%,43.5%,49.0%,36.7%,40.0%,49.5%,47.4%,44.7%,27.5%,49.1%,25.5%,36.4%,51.2%,24,W
2021,Barcelona,QF,Rublev,30.4%,39.1%,47.8%,35.1%,31.7%,41.5%,46.4%,39.5%,35.3%,70.8%,30.8%,38.5%,50.0%,29,W
2021,Miami,F,Hurkacz,10.3%,17.9%,50.8%,15.1%,17.0%,25.5%,46.2%,25.1%,52.6%,42.9%,0.0%,7.7%,57.7%,-118,L
2021,Miami,SF,Bautista Agut,19.0%,34.0%,54.4%,25.6%,21.5%,40.0%,54.9%,31.7%,47.1%,51.6%,15.2%,24.2%,53.6%,7,W
2021,Miami,QF,Bublik,23.5%,30.9%,52.5%,30.2%,27.8%,37.0%,48.7%,38.0%,47.6%,42.4%,16.7%,20.8%,60.0%,45,W
2021,Miami,R16,Ruusuvuori,28.3%,39.6%,54.1%,37.5%,33.3%,46.2%,57.7%,45.9%,50.0%,43.5%,15.4%,23.1%,45.5%,29,W
2021,Dubai,QF,Karatsev,33.9%,42.2%,39.7%,37.7%,41.9%,53.2%,38.9%,48.5%,58.1%,58.1%,25.6%,30.2%,40.6%,50,L
2021,Marseille,QF,Medvedev,19.6%,21.4%,46.7%,21.6%,31.4%,34.3%,37.5%,34.6%,64.7%,66.7%,0.0%,0.0%,57.1%,-118,L
2021,Australian Open,R128,Shapovalov,20.7%,31.7%,55.9%,26.5%,21.8%,33.7%,58.2%,30.1%,63.8%,33.3%,20.0%,30.0%,50.0%,59,L
2021,Great Ocean Road Open,F,Travaglia,20.5%,22.9%,50.8%,21.8%,28.3%,30.4%,39.4%,30.7%,33.3%,72.7%,11.1%,13.9%,62.5%,-38,W
2020,Sofia,F,Pospisil,35.9%,42.4%,55.6%,39.9%,46.7%,55.0%,53.1%,52.8%,51.7%,41.9%,18.5%,22.2%,59.1%,54,W
2020,Roland Garros,QF,Nadal,9.7%,17.2%,49.4%,15.4%,12.7%,23.8%,50.9%,21.1%,53.8%,48.6%,3.7%,3.7%,46.2%,-81,L
2020,Roland Garros,R16,Zverev,18.2%,27.3%,58.6%,23.0%,27.2%,38.3%,61.0%,35.7%,36.6%,60.0%,7.1%,14.3%,55.8%,-47,W
2020,Roland Garros,R32,Coria,18.0%,25.0%,52.5%,24.6%,20.6%,29.4%,55.6%,30.3%,21.9%,75.0%,13.3%,16.7%,46.2%,16,W
2020,Roland Garros,R64,Bonzi,20.4%,31.2%,56.9%,26.0%,23.4%,35.9%,53.1%,31.6%,50.0%,58.8%,14.8%,22.2%,65.2%,25,W
2020,Rome,R32,Tsitsipas,22.2%,33.3%,61.3%,29.6%,27.3%,38.2%,57.5%,38.2%,30.0%,57.1%,12.0%,24.0%,68.2%,-21,W
2020,Marseille,R16,Medvedev,20.9%,29.9%,42.3%,26.6%,29.3%,39.0%,41.4%,38.5%,52.0%,31.3%,8.0%,16.0%,43.5%,-33,L
2020,Montpellier,R32,Ymer,23.1%,30.8%,45.9%,29.2%,35.5%,48.4%,55.0%,45.8%,40.0%,31.3%,5.6%,5.6%,35.3%,-66,L
2020,Australian Open,R64,Fucsovics,17.8%,25.7%,44.3%,21.9%,27.3%,40.0%,52.5%,34.7%,44.0%,70.0%,7.1%,9.5%,35.9%,-46,L
2019,Ortisei CH,F,Ofner,44.7%,59.6%,58.3%,53.4%,46.7%,70.0%,68.8%,60.3%,60.0%,40.0%,46.7%,46.7%,37.5%,99,W
2019,NextGen Finals,F,De Minaur,34.6%,46.2%,56.3%,40.4%,41.2%,58.8%,60.0%,50.0%,43.8%,27.8%,25.0%,25.0%,50.0%,10,W
2019,NextGen Finals,SF,Kecmanovic,26.2%,38.5%,63.0%,34.3%,31.4%,51.4%,62.5%,46.6%,46.7%,40.0%,21.4%,25.0%,63.6%,22,W
2019,NextGen Finals,RR,Ymer,27.3%,38.6%,66.7%,34.3%,37.5%,53.1%,75.0%,47.2%,18.8%,31.3%,0.0%,0.0%,50.0%,-118,W
2019,Vienna,R16,Monfils,26.8%,43.7%,54.9%,37.3%,35.0%,57.5%,65.4%,53.8%,42.9%,50.0%,16.7%,26.7%,44.0%,-30,L
2019,Vienna,R32,Kohlschreiber,28.4%,41.9%,51.9%,34.6%,40.9%,59.1%,61.5%,51.4%,38.1%,39.1%,10.3%,17.2%,42.3%,-29,W
2019,Antwerp,SF,Wawrinka,16.0%,26.0%,42.9%,21.0%,24.1%,41.4%,45.5%,32.8%,42.9%,46.7%,4.8%,4.8%,40.0%,-79,L
2019,Antwerp,QF,Tiafoe,40.0%,50.0%,52.2%,44.5%,56.9%,68.6%,54.5%,63.9%,52.0%,26.9%,11.1%,18.5%,50.0%,-4,W
2019,Antwerp,R16,Monfils,38.6%,52.3%,65.4%,43.4%,42.9%,57.1%,66.7%,52.9%,85.7%,50.0%,36.4%,50.0%,64.3%,-13,W
2019,Antwerp,R32,Majchrzak,25.0%,34.6%,56.4%,31.2%,31.3%,43.8%,54.5%,41.3%,35.3%,66.7%,15.0%,20.0%,58.8%,-79,W
2019,St. Petersburg,R32,Kukushkin,31.1%,39.3%,50.0%,35.2%,39.5%,51.2%,50.0%,45.3%,38.1%,54.5%,12.5%,12.5%,50.0%,4,L
2019,US Open,R128,Wawrinka,20.5%,29.5%,54.3%,28.0%,21.9%,35.6%,50.9%,34.5%,53.3%,34.9%,20.5%,22.7%,60.0%,75,L
2019,Rome,R64,Johnson,20.5%,30.8%,52.5%,31.0%,26.5%,42.9%,58.3%,43.3%,48.0%,41.7%,11.5%,11.5%,43.5%,-4,W
2019,Ostrava CH,F,Majchrzak,12.8%,17.0%,28.9%,13.8%,12.5%,16.7%,38.1%,14.6%,23.1%,45.5%,15.0%,20.0%,17.6%,25,L
2019,Villena CH,R64,Alcaraz,19.3%,24.1%,38.7%,21.8%,26.7%,33.3%,42.4%,31.3%,38.1%,66.7%,12.1%,15.2%,34.5%,-2,L
2019,Bergamo CH,F,Marcora,24.5%,40.8%,59.5%,35.3%,25.9%,51.9%,75.0%,45.6%,36.4%,50.0%,22.7%,27.3%,41.2%,-79,W
2019,Bergamo CH,QF,Quinzi,28.0%,42.0%,55.9%,34.4%,46.2%,61.5%,64.3%,58.5%,50.0%,43.8%,9.1%,22.7%,50.0%,-26,W
