Match,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%.1,RiP W%.1,SvImpact.1,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%.2,RiP W%.2,2ndAgg,W_or_L,Rival
2020 Hamburg SF,5.3%,17.5%,45.3%,10.7%,8.6%,22.9%,40.6%,17.4%,16.7%,64.7%,80.0%,0.0%,9.5%,52.4%,-118,L,Rublev
2020 Rome SF,17.9%,25.0%,48.5%,25.7%,22.0%,32.2%,50.0%,33.2%,62.1%,53.3%,28.6%,8.3%,8.3%,45.5%,-30,L,Djokovic
2020 Rome QF,18.4%,34.0%,61.7%,26.6%,24.6%,44.3%,67.4%,38.4%,29.0%,60.0%,0.0%,10.3%,20.5%,54.3%,-13,W,Berrettini
2020 US Open R32,23.3%,31.4%,52.4%,27.3%,31.5%,44.4%,54.1%,38.0%,30.8%,42.9%,33.3%,10.3%,10.3%,50.0%,-15,L,Berrettini
2020 Santiago F,22.5%,40.0%,54.4%,30.9%,25.6%,51.2%,62.5%,41.2%,20.0%,56.5%,0.0%,21.9%,31.3%,44.0%,90,L,Seyboth Wild
2020 Santiago SF,30.8%,41.5%,68.3%,40.0%,40.5%,56.8%,77.3%,56.8%,64.7%,40.0%,-,20.8%,25.0%,57.9%,78,W,Ramos
2020 Santiago R16,31.8%,43.9%,54.8%,43.3%,34.6%,50.0%,64.7%,49.2%,59.1%,43.3%,33.3%,27.3%,27.3%,12.5%,118,W,Tabilo
2020 Buenos Aires F,27.1%,54.2%,68.6%,43.3%,31.3%,68.8%,77.3%,55.6%,61.5%,57.9%,-,18.8%,25.0%,53.8%,-79,W,Sousa
2020 Buenos Aires SF,31.7%,47.6%,61.8%,37.9%,37.0%,53.7%,61.8%,46.5%,27.3%,46.9%,50.0%,22.2%,37.0%,61.9%,-25,W,Londero
2020 Australian Open R128,24.4%,35.1%,59.0%,33.4%,29.8%,43.8%,58.8%,42.2%,48.9%,47.3%,33.3%,11.9%,14.3%,59.5%,-1,L,Gerasimov
2020 Atp Cup RR,37.0%,47.8%,60.7%,45.0%,42.9%,57.1%,65.0%,53.4%,53.3%,40.0%,-,20.0%,20.0%,50.0%,59,W,Fognini
2019 NextGen Finals RR,19.6%,31.4%,36.6%,25.7%,21.1%,34.2%,43.3%,29.2%,28.6%,23.5%,66.7%,15.4%,23.1%,18.2%,-79,L,De Minaur
2019 Hamburg R32,18.2%,34.1%,58.0%,27.2%,18.5%,38.9%,63.6%,33.1%,27.6%,64.0%,66.7%,19.4%,29.0%,48.0%,55,W,Haase
2019 Roland Garros R64,29.1%,50.5%,60.6%,40.6%,24.6%,55.4%,69.4%,42.8%,31.0%,69.4%,66.7%,38.9%,44.4%,40.9%,1,W,Berrettini
2019 Rome R16,11.5%,24.6%,57.7%,21.1%,10.3%,28.2%,57.1%,25.4%,38.1%,66.7%,33.3%,15.0%,20.0%,58.8%,32,L,del Potro
2019 Houston F,18.2%,26.3%,56.4%,25.4%,20.3%,31.3%,54.9%,31.4%,31.3%,50.0%,25.0%,15.6%,18.8%,59.3%,39,L,Garin
2019 Sao Paulo SF,38.6%,47.4%,37.1%,43.0%,44.1%,58.8%,47.4%,51.5%,45.0%,92.9%,100.0%,30.4%,30.4%,25.0%,-79,L,Garin
2019 Sao Paulo QF,32.5%,45.0%,61.5%,40.8%,33.3%,44.4%,66.7%,45.6%,46.2%,64.3%,-,33.3%,50.0%,50.0%,37,W,Dellien
2019 Rio de Janeiro QF,29.0%,39.1%,43.5%,31.9%,30.2%,39.5%,43.3%,34.9%,52.6%,66.7%,66.7%,30.4%,43.5%,43.8%,96,L,Djere
2018 Francavilla Al Mare CH R16,36.8%,40.4%,47.2%,40.9%,41.0%,43.6%,47.8%,46.9%,56.3%,39.1%,66.7%,27.8%,33.3%,46.2%,-79,W,Auger Aliassime
2017 Washington R64,31.7%,36.6%,45.1%,38.5%,38.8%,46.9%,53.3%,50.2%,54.2%,52.0%,60.0%,25.0%,25.0%,33.3%,115,L,Paul
2017 Lyon CH QF,27.7%,36.6%,52.6%,32.8%,35.9%,47.4%,56.0%,43.2%,37.8%,43.9%,0.0%,10.3%,13.8%,46.2%,-21,L,Auger Aliassime
2017 Roland Garros Q2,25.0%,38.9%,50.0%,30.0%,23.9%,37.0%,42.9%,31.7%,38.1%,56.0%,-,26.9%,42.3%,63.2%,-79,L,Janvier
2017 Sao Paulo R32,22.6%,33.9%,70.5%,32.1%,26.2%,42.9%,71.0%,40.2%,25.0%,83.3%,100.0%,18.8%,18.8%,69.2%,47,W,Santillan
2017 Rio de Janeiro SF,21.2%,27.3%,43.7%,29.7%,28.1%,38.6%,56.1%,42.8%,36.7%,51.9%,50.0%,14.3%,14.3%,26.7%,13,L,Carreno Busta
2017 Rio de Janeiro QF,39.3%,53.6%,71.9%,44.8%,45.0%,57.5%,68.2%,52.8%,43.8%,45.8%,-,28.6%,50.0%,80.0%,110,W,Monteiro
2017 Rio de Janeiro R16,29.7%,44.1%,56.6%,38.8%,31.3%,51.6%,65.9%,47.0%,50.0%,47.7%,33.3%,28.3%,37.0%,45.5%,-16,W,Carballes Baena
2017 Rio de Janeiro R32,27.0%,38.1%,59.1%,33.7%,37.8%,54.1%,65.2%,49.2%,36.8%,61.1%,-,12.5%,16.7%,52.4%,9,W,Dutra Silva
2017 Budapest CH R32,32.8%,37.7%,41.0%,36.2%,47.2%,55.6%,47.4%,53.1%,38.9%,44.4%,66.7%,13.0%,13.0%,35.0%,14,W,Lee
2017 Australian Open Q3,34.3%,40.0%,48.9%,37.1%,41.7%,50.0%,57.1%,45.8%,21.7%,40.0%,66.7%,19.0%,19.0%,35.3%,-10,L,Opelka
2017 Australian Open Q2,25.6%,32.9%,59.0%,30.2%,33.3%,40.4%,55.3%,40.0%,50.0%,33.3%,50.0%,8.0%,16.0%,65.2%,-79,W,Eysseric
2016 Szczecin CH R16,19.0%,29.1%,48.4%,24.8%,17.8%,35.6%,51.4%,28.0%,52.4%,50.0%,100.0%,21.9%,21.9%,44.0%,10,L,Cecchinato
2016 Szczecin CH R32,22.5%,31.0%,61.1%,27.3%,28.3%,32.6%,57.6%,35.7%,31.8%,41.7%,50.0%,12.5%,29.2%,66.7%,-19,W,Eremin
2016 Seville CH F,11.3%,21.0%,52.7%,22.9%,8.9%,22.2%,58.5%,24.9%,47.6%,50.0%,50.0%,17.6%,17.6%,35.7%,-79,W,Daniel
2016 Seville CH SF,18.2%,31.2%,62.9%,27.9%,17.6%,35.3%,64.3%,32.4%,22.7%,51.7%,50.0%,20.0%,24.0%,60.0%,-21,W,Cachin
2016 Seville CH QF,30.7%,41.3%,60.0%,40.1%,36.5%,50.0%,66.7%,50.2%,46.2%,65.4%,100.0%,19.0%,23.8%,47.1%,53,W,Cervantes Huegun
2016 Finland F1 F,26.1%,37.7%,49.0%,32.2%,29.4%,41.2%,47.2%,37.6%,37.0%,54.2%,0.0%,16.7%,27.8%,53.3%,-79,W,Torpegaard
