Date,Tournament,Rd,Rival,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt,W_or_L
2021,Doha,SF,Bautista Agut,24,32,0.8,22.2%,29.6%,16,31,0.5,16.3%,31.6%,7.1%,4.1%,1.7,20.4%,12.0%,L
2021,Rotterdam,F,Fucsovics,28,16,1.8,17.3%,9.9%,25,15,1.7,16.7%,10.0%,9.3%,7.3%,1.0,19.8%,20.4%,W
2021,Rotterdam,SF,Tsitsipas,35,20,1.8,24.6%,14.1%,29,18,1.6,23.4%,14.5%,18.5%,4.0%,0.9,12.0%,12.7%,W
2021,Rotterdam,R16,Murray,24,21,1.1,20.5%,17.9%,19,21,0.9,18.3%,20.2%,13.5%,4.8%,0.3,7.7%,29.1%,W
2021,Australian Open,QF,Medvedev,12,36,0.3,6.9%,20.6%,12,36,0.3,8.2%,24.7%,,,0.6,9.1%,16.6%,L
2021,Australian Open,R16,Ruud,18,17,1.1,15.4%,14.5%,18,17,1.1,17.0%,16.0%,,,0.8,12.8%,16.2%,W
2021,Australian Open,R32,Lopez,21,20,1.1,13.2%,12.6%,21,20,1.1,16.7%,15.9%,,,0.5,6.9%,13.8%,W
2021,Australian Open,R64,Monteiro,29,37,0.8,14.3%,18.2%,29,37,0.8,16.6%,21.1%,,,0.5,7.4%,16.3%,W
2021,Australian Open,R128,Hanfmann,18,23,0.8,9.8%,12.5%,18,23,0.8,11.8%,15.1%,,,0.6,7.6%,13.6%,W
2021,Atp Cup,F,Fognini,23,6,3.8,28.4%,7.4%,14,6,2.3,20.9%,9.0%,19.4%,0.0%,0.3,7.4%,22.2%,W
2021,Atp Cup,SF,Struff,58,18,3.2,41.1%,12.8%,47,15,3.1,42.3%,13.5%,15.3%,7.2%,2.0,27.0%,13.5%,W
2021,Atp Cup,RR,Pella,34,18,1.9,35.4%,18.8%,27,16,1.7,32.5%,19.3%,19.3%,1.2%,0.8,15.6%,20.8%,W
2021,Atp Cup,RR,Nishioka,33,18,1.8,33.0%,18.0%,31,15,2.1,34.4%,16.7%,21.1%,4.4%,0.9,17.0%,20.0%,W
2020,Tour Finals,RR,Nadal,18,25,0.7,16.1%,22.3%,10,24,0.4,9.9%,23.8%,7.9%,2.0%,1.1,14.3%,13.4%,L
2020,Tour Finals,RR,Thiem,37,16,2.3,30.3%,13.1%,25,16,1.6,25.8%,16.5%,12.4%,4.1%,1.6,27.9%,17.2%,W
2020,Vienna,F,Sonego,23,17,1.4,20.7%,15.3%,17,17,1.0,17.3%,17.3%,10.2%,7.1%,0.7,11.7%,18.0%,W
2020,St Petersburg,F,Coric,21,13,1.6,15.6%,9.6%,14,12,1.2,12.2%,10.4%,9.6%,2.6%,0.5,11.1%,20.7%,W
2020,St Petersburg,R32,Pospisil,16,8,2.0,13.4%,6.7%,14,6,2.3,13.5%,5.8%,10.6%,2.9%,0.6,16.0%,26.1%,W
2020,Roland Garros,QF,Tsitsipas,18,23,0.8,10.3%,13.1%,18,23,0.8,11.3%,14.5%,,,1.9,16.0%,8.6%,L
2020,Roland Garros,R16,Fucsovics,39,44,0.9,12.2%,13.8%,39,44,0.9,13.1%,14.8%,,,0.9,16.6%,18.2%,W
2020,Roland Garros,R32,Anderson,21,15,1.4,15.1%,10.8%,21,15,1.4,18.8%,13.4%,,,0.3,6.5%,18.7%,W
2020,Roland Garros,R64,Davidovich Fokina,27,32,0.8,12.9%,15.2%,27,32,0.8,14.0%,16.6%,,,0.8,14.8%,19.5%,W
2020,Roland Garros,R128,Querrey,41,18,2.3,12.3%,5.4%,41,18,2.3,15.3%,6.7%,,,1.0,15.3%,15.3%,W
2020,Hamburg,F,Tsitsipas,28,19,1.5,14.9%,10.1%,25,19,1.3,14.8%,11.2%,10.1%,4.7%,1.2,23.4%,20.2%,W
2020,Hamburg,SF,Ruud,26,19,1.4,22.8%,16.7%,22,17,1.3,20.6%,15.9%,14.0%,6.5%,0.5,10.5%,19.3%,W
2020,Rome Masters,R32,Hurkacz,25,31,0.8,14.6%,18.1%,13,30,0.4,9.2%,21.1%,9.2%,0.0%,0.9,17.0%,19.3%,L
2020,US Open,QF,Medvedev,23,17,1.4,11.7%,8.6%,13,16,0.8,7.8%,9.6%,5.4%,1.8%,1.4,25.9%,18.8%,L
2020,US Open,R16,Berrettini,34,28,1.2,15.0%,12.3%,25,24,1.0,12.1%,11.7%,9.2%,2.9%,0.8,15.0%,19.4%,W
2020,US Open,R32,Caruso,35,15,2.3,26.9%,11.5%,18,12,1.5,17.1%,11.4%,14.3%,1.0%,0.5,9.2%,17.7%,W
2020,US Open,R64,Barrere,36,23,1.6,19.9%,12.7%,23,21,1.1,14.6%,13.3%,7.6%,2.5%,1.0,14.4%,13.8%,W
2020,US Open,R128,Chardy,34,15,2.3,15.8%,7.0%,23,12,1.9,13.6%,7.1%,10.7%,1.8%,1.1,21.4%,20.0%,W
2020,Dubai,QF,Evans,21,24,0.9,12.1%,13.9%,16,24,0.7,10.1%,15.1%,5.7%,4.4%,0.9,15.6%,17.3%,L
2020,Rotterdam,QF,Krajinovic,22,23,1.0,16.2%,16.9%,12,23,0.5,9.9%,19.0%,8.3%,1.7%,1.0,19.1%,19.1%,L
2020,Rotterdam,R32,Basilashvili,22,7,3.1,23.9%,7.6%,16,7,2.3,21.3%,9.3%,5.3%,1.3%,0.6,22.8%,37.0%,W
2020,Australian Open,R16,Zverev,12,19,0.6,7.8%,12.4%,12,19,0.6,9.3%,14.7%,,,1.2,15.0%,13.1%,L
2020,Australian Open,R32,Goffin,28,29,1.0,10.5%,10.9%,28,29,1.0,11.8%,12.2%,,,0.7,12.4%,18.8%,W
2020,Australian Open,R64,Sugita,31,34,0.9,15.7%,17.3%,31,34,0.9,18.3%,20.1%,,,0.6,10.2%,15.7%,W
2020,Australian Open,R128,Oconnell,33,25,1.3,14.0%,10.6%,33,25,1.3,15.9%,12.1%,,,0.9,15.7%,17.4%,W
2020,Adelaide,F,Harris,16,11,1.5,17.4%,12.0%,12,10,1.2,15.4%,12.8%,12.8%,2.6%,0.8,17.4%,22.8%,W
2020,Adelaide,SF,Auger Aliassime,28,22,1.3,11.1%,8.7%,18,16,1.1,8.4%,7.4%,6.5%,1.9%,1.2,20.9%,17.8%,W
2020,Doha,F,Moutet,16,16,1.0,13.3%,13.3%,13,16,0.8,11.4%,14.0%,9.6%,1.8%,0.7,17.5%,24.2%,W
2020,Doha,SF,Kecmanovic,31,10,3.1,33.3%,10.8%,21,9,2.3,25.9%,11.1%,16.0%,8.6%,0.6,10.8%,18.3%,W
2019,Davis Cup,RR,Gojo,18,14,1.3,16.8%,13.1%,12,9,1.3,13.6%,10.2%,6.8%,6.8%,0.5,11.2%,21.5%,W
2019,Moscow,F,Mannarino,15,12,1.3,17.4%,14.0%,8,9,0.9,11.0%,12.3%,9.6%,1.4%,0.5,10.5%,20.9%,W
2019,Shanghai Masters,R16,Zverev,13,23,0.6,9.8%,17.3%,9,17,0.5,9.1%,17.2%,9.1%,0.0%,1.1,23.3%,20.3%,L
2019,Beijing,R32,Dimitrov,13,19,0.7,11.7%,17.1%,7,18,0.4,7.5%,19.4%,5.4%,1.1%,0.5,13.5%,28.8%,W
2019,St. Petersburg,QF,Medvedev,13,37,0.4,8.2%,23.4%,10,36,0.3,7.3%,26.3%,5.8%,1.5%,0.9,17.7%,19.0%,L
2019,US Open,R16,Berrettini,25,34,0.7,12.7%,17.3%,17,32,0.5,9.5%,17.9%,6.7%,1.1%,1.1,18.8%,17.8%,L
2019,US Open,R32,Kyrgios,34,14,2.4,16.7%,6.9%,22,13,1.7,14.0%,8.3%,7.6%,5.7%,1.2,23.0%,18.6%,W
2019,US Open,R64,Simon,13,5,2.6,25.0%,9.6%,11,3,3.7,22.9%,6.3%,16.7%,4.2%,0.2,1.9%,11.5%,W
2019,US Open,R128,Tsitsipas,51,47,1.1,14.8%,13.7%,37,41,0.9,12.5%,13.8%,8.8%,2.0%,0.8,18.9%,23.5%,W
2019,Cincinnati Masters,R16,Federer,22,9,2.4,21.4%,8.7%,17,9,1.9,18.7%,9.9%,14.3%,1.1%,1.7,26.2%,15.5%,W
2019,Hamburg,F,Basilashvili,20,18,1.1,10.0%,9.0%,14,14,1.0,7.7%,7.7%,5.5%,1.6%,1.0,18.0%,18.0%,L
2019,Hamburg,QF,Thiem,19,27,0.7,13.6%,19.3%,17,25,0.7,13.1%,19.2%,11.5%,1.5%,0.8,14.3%,18.6%,W
2019,Hamburg,R32,Garin,18,23,0.8,12.5%,16.0%,15,19,0.8,11.4%,14.4%,9.1%,2.3%,0.7,16.0%,22.9%,W
2019,Umag,R32,Haase,25,18,1.4,19.7%,14.2%,21,17,1.2,19.3%,15.6%,12.8%,6.4%,0.4,12.6%,28.3%,W
2019,Wimbledon,R64,Querrey,25,14,1.8,13.7%,7.7%,18,13,1.4,12.5%,9.0%,11.1%,0.0%,3.2,30.2%,9.3%,L
2019,Wimbledon,R128,Garin,40,27,1.5,13.8%,9.3%,28,23,1.2,10.8%,8.8%,7.3%,3.1%,0.9,13.8%,15.6%,W
2019,Monte Carlo Masters,R64,Fognini,19,37,0.5,9.0%,17.5%,13,31,0.4,7.0%,16.6%,5.3%,1.6%,0.5,16.1%,29.9%,L
2019,Miami Masters,R64,Cilic,26,22,1.2,18.1%,15.3%,20,18,1.1,16.5%,14.9%,11.6%,5.0%,0.6,14.6%,22.9%,W
2019,Indian Wells Masters,R64,Haase,39,39,1.0,21.4%,21.4%,35,35,1.0,21.7%,21.7%,12.4%,9.3%,0.8,13.7%,17.6%,W
2019,Australian Open,R128,Mcdonald,28,38,0.7,11.6%,15.7%,22,29,0.8,10.2%,13.5%,8.8%,1.4%,1.1,16.1%,14.5%,L
2019,Doha,R16,Basilashvili,15,18,0.8,13.5%,16.2%,8,14,0.6,9.5%,16.7%,6.0%,2.4%,1.2,20.7%,18.0%,L
2018,Washington,SF,De Minaur,34,43,0.8,14.2%,18.0%,26,38,0.7,12.4%,18.2%,8.1%,3.3%,0.9,13.8%,15.9%,L
2018,Monte Carlo Masters,R32,Thiem,30,42,0.7,12.4%,17.4%,28,38,0.7,12.3%,16.7%,9.6%,2.6%,1.0,17.4%,17.4%,L
2018,Australian Open,R32,Dimitrov,25,46,0.5,9.0%,16.5%,25,46,0.5,10.7%,19.7%,,,0.7,11.5%,16.5%,L
2018,Australian Open,R64,Baghdatis,34,39,0.9,12.5%,14.3%,34,39,0.9,15.2%,17.4%,,,0.5,8.1%,17.6%,W
2018,Australian Open,R128,Ferrer,64,76,0.8,18.6%,22.1%,64,76,0.8,21.1%,25.1%,,,0.6,8.4%,14.8%,W
2018,Doha,F,Monfils,18,24,0.8,17.8%,23.8%,13,21,0.6,16.0%,25.9%,9.9%,3.7%,1.4,16.8%,11.9%,L
2017,NextGen Finals,F,Chung,19,43,0.4,11.7%,26.4%,19,39,0.5,12.3%,25.2%,9.7%,2.6%,0.5,7.4%,13.5%,L
2017,Shanghai Masters,R32,del Potro,24,24,1.0,22.2%,22.2%,21,17,1.2,25.0%,20.2%,17.9%,6.0%,2.5,25.0%,10.2%,L
2017,Beijing,QF,Zverev,11,26,0.4,9.7%,23.0%,11,22,0.5,11.5%,22.9%,6.3%,4.2%,1.1,21.2%,19.5%,L
2017,US Open,QF,Nadal,18,43,0.4,12.4%,29.7%,17,36,0.5,13.1%,27.7%,9.2%,3.1%,1.1,14.5%,13.8%,L
2017,US Open,R16,Goffin,48,40,1.2,22.0%,18.3%,36,36,1.0,19.4%,19.4%,15.6%,3.2%,0.8,14.7%,17.9%,W
2017,US Open,R32,Dzumhur,44,60,0.7,16.1%,21.9%,37,56,0.7,14.6%,22.0%,10.6%,3.9%,0.7,13.9%,20.1%,W
2017,US Open,R64,Dimitrov,36,36,1.0,15.7%,15.7%,29,33,0.9,14.6%,16.6%,11.6%,1.5%,0.9,15.2%,17.0%,W
2017,Umag,F,Lorenzi,26,19,1.4,23.6%,17.3%,24,19,1.3,23.5%,18.6%,14.7%,7.8%,0.7,11.8%,17.3%,W
2017,Umag,QF,Fognini,38,34,1.1,18.4%,16.5%,31,32,1.0,16.4%,16.9%,12.2%,4.2%,0.7,13.6%,18.4%,W
2017,Wimbledon,R64,Ramos,54,41,1.3,16.9%,12.8%,47,37,1.3,16.3%,12.8%,12.1%,3.5%,1.1,12.8%,11.6%,L
2017,Wimbledon,R128,Travaglia,39,35,1.1,11.5%,10.3%,29,30,1.0,9.7%,10.1%,6.4%,2.7%,1.3,21.5%,16.2%,W
2017,Halle,QF,Khachanov,33,31,1.1,14.9%,14.0%,30,27,1.1,15.4%,13.8%,10.3%,3.1%,0.9,18.5%,20.3%,L
2017,Roland Garros,R128,Schwartzman,43,48,0.9,13.8%,15.4%,39,41,1.0,13.3%,13.9%,9.2%,3.7%,0.8,12.8%,15.4%,L
2017,Quimper CH,R32,Tsitsipas,37,22,1.7,19.4%,11.5%,31,20,1.6,19.4%,12.5%,14.4%,3.1%,1.6,23.6%,15.2%,W
2017,Australian Open,R64,Murray,18,36,0.5,13.4%,26.9%,16,33,0.5,13.6%,28.0%,10.2%,2.5%,1.3,21.6%,16.4%,L
2017,Australian Open,R128,Lu,52,50,1.0,20.1%,19.3%,33,44,0.8,15.6%,20.9%,11.8%,1.9%,0.7,13.5%,19.3%,W
2015,US Open,R128,Anderson,35,36,1.0,12.2%,12.5%,30,27,1.1,12.7%,11.4%,9.7%,2.1%,1.3,22.2%,17.0%,L
2015,Barcelona,R64,Verdasco,24,18,1.3,15.3%,11.5%,23,17,1.4,15.9%,11.7%,11.0%,4.1%,0.9,20.4%,22.9%,W
2015,Delray Beach,R16,Johnson,13,30,0.4,11.1%,25.6%,8,28,0.3,8.0%,28.0%,4.0%,3.0%,1.0,18.8%,17.9%,L
